"N","Time","avg(X)","avg(Y)","avg(Z)","avg(partitioning)","avg(u)","avg(v)","avg(vtkOriginalPointIds)","max(X)","max(Y)","max(Z)","max(partitioning)","max(u)","max(v)","max(vtkOriginalPointIds)","med(X)","med(Y)","med(Z)","med(partitioning)","med(u)","med(v)","med(vtkOriginalPointIds)","min(X)","min(Y)","min(Z)","min(partitioning)","min(u)","min(v)","min(vtkOriginalPointIds)","q1(X)","q1(Y)","q1(Z)","q1(partitioning)","q1(u)","q1(v)","q1(vtkOriginalPointIds)","q3(X)","q3(Y)","q3(Z)","q3(partitioning)","q3(u)","q3(v)","q3(vtkOriginalPointIds)","std(X)","std(Y)","std(Z)","std(partitioning)","std(u)","std(v)","std(vtkOriginalPointIds)","sum(X)","sum(Y)","sum(Z)","sum(partitioning)","sum(u)","sum(v)","sum(vtkOriginalPointIds)","vtkValidPointMask"
1,0,0.5,0.5,0,0,0.2,0,76317,0.5,0.5,0,0,0.2,0,76317,0.5,0.5,0,0,0.2,0,76317,0.5,0.5,0,0,0.2,0,76317,0.5,0.5,0,0,0.2,0,76317,0.5,0.5,0,0,0.2,0,76317,0,0,0,0,0,0,0,0.5,0.5,0,0,0.2,0,76317,1
1,1,0.5,0.5,0,0,0.19999,-0.0068432,76317,0.5,0.5,0,0,0.19999,-0.0068432,76317,0.5,0.5,0,0,0.19999,-0.0068432,76317,0.5,0.5,0,0,0.19999,-0.0068432,76317,0.5,0.5,0,0,0.19999,-0.0068432,76317,0.5,0.5,0,0,0.19999,-0.0068432,76317,0,0,0,0,0,0,0,0.5,0.5,0,0,0.19999,-0.0068432,76317,1
1,2,0.5,0.5,0,0,0.19994,-0.020504,76317,0.5,0.5,0,0,0.19994,-0.020504,76317,0.5,0.5,0,0,0.19994,-0.020504,76317,0.5,0.5,0,0,0.19994,-0.020504,76317,0.5,0.5,0,0,0.19994,-0.020504,76317,0.5,0.5,0,0,0.19994,-0.020504,76317,0,0,0,0,0,0,0,0.5,0.5,0,0,0.19994,-0.020504,76317,1
1,3,0.5,0.5,0,0,0.19984,-0.034111,76317,0.5,0.5,0,0,0.19984,-0.034111,76317,0.5,0.5,0,0,0.19984,-0.034111,76317,0.5,0.5,0,0,0.19984,-0.034111,76317,0.5,0.5,0,0,0.19984,-0.034111,76317,0.5,0.5,0,0,0.19984,-0.034111,76317,0,0,0,0,0,0,0,0.5,0.5,0,0,0.19984,-0.034111,76317,1
1,4,0.5,0.5,0,0,0.1997,-0.047662,76317,0.5,0.5,0,0,0.1997,-0.047662,76317,0.5,0.5,0,0,0.1997,-0.047662,76317,0.5,0.5,0,0,0.1997,-0.047662,76317,0.5,0.5,0,0,0.1997,-0.047662,76317,0.5,0.5,0,0,0.1997,-0.047662,76317,0,0,0,0,0,0,0,0.5,0.5,0,0,0.1997,-0.047662,76317,1
1,5,0.5,0.5,0,0,0.19951,-0.061154,76317,0.5,0.5,0,0,0.19951,-0.061154,76317,0.5,0.5,0,0,0.19951,-0.061154,76317,0.5,0.5,0,0,0.19951,-0.061154,76317,0.5,0.5,0,0,0.19951,-0.061154,76317,0.5,0.5,0,0,0.19951,-0.061154,76317,0,0,0,0,0,0,0,0.5,0.5,0,0,0.19951,-0.061154,76317,1
1,6,0.5,0.5,0,0,0.19927,-0.074583,76317,0.5,0.5,0,0,0.19927,-0.074583,76317,0.5,0.5,0,0,0.19927,-0.074583,76317,0.5,0.5,0,0,0.19927,-0.074583,76317,0.5,0.5,0,0,0.19927,-0.074583,76317,0.5,0.5,0,0,0.19927,-0.074583,76317,0,0,0,0,0,0,0,0.5,0.5,0,0,0.19927,-0.074583,76317,1
1,7,0.5,0.5,0,0,0.19899,-0.087946,76317,0.5,0.5,0,0,0.19899,-0.087946,76317,0.5,0.5,0,0,0.19899,-0.087946,76317,0.5,0.5,0,0,0.19899,-0.087946,76317,0.5,0.5,0,0,0.19899,-0.087946,76317,0.5,0.5,0,0,0.19899,-0.087946,76317,0,0,0,0,0,0,0,0.5,0.5,0,0,0.19899,-0.087946,76317,1
1,8,0.5,0.5,0,0,0.19866,-0.10124,76317,0.5,0.5,0,0,0.19866,-0.10124,76317,0.5,0.5,0,0,0.19866,-0.10124,76317,0.5,0.5,0,0,0.19866,-0.10124,76317,0.5,0.5,0,0,0.19866,-0.10124,76317,0.5,0.5,0,0,0.19866,-0.10124,76317,0,0,0,0,0,0,0,0.5,0.5,0,0,0.19866,-0.10124,76317,1
1,9,0.5,0.5,0,0,0.19828,-0.11446,76317,0.5,0.5,0,0,0.19828,-0.11446,76317,0.5,0.5,0,0,0.19828,-0.11446,76317,0.5,0.5,0,0,0.19828,-0.11446,76317,0.5,0.5,0,0,0.19828,-0.11446,76317,0.5,0.5,0,0,0.19828,-0.11446,76317,0,0,0,0,0,0,0,0.5,0.5,0,0,0.19828,-0.11446,76317,1
