"N","Time","avg(X)","avg(Y)","avg(Z)","avg(partitioning)","avg(u)","avg(v)","avg(vtkOriginalPointIds)","max(X)","max(Y)","max(Z)","max(partitioning)","max(u)","max(v)","max(vtkOriginalPointIds)","med(X)","med(Y)","med(Z)","med(partitioning)","med(u)","med(v)","med(vtkOriginalPointIds)","min(X)","min(Y)","min(Z)","min(partitioning)","min(u)","min(v)","min(vtkOriginalPointIds)","q1(X)","q1(Y)","q1(Z)","q1(partitioning)","q1(u)","q1(v)","q1(vtkOriginalPointIds)","q3(X)","q3(Y)","q3(Z)","q3(partitioning)","q3(u)","q3(v)","q3(vtkOriginalPointIds)","std(X)","std(Y)","std(Z)","std(partitioning)","std(u)","std(v)","std(vtkOriginalPointIds)","sum(X)","sum(Y)","sum(Z)","sum(partitioning)","sum(u)","sum(v)","sum(vtkOriginalPointIds)","vtkValidPointMask"
1,0,0.8,0.8,0,0,-0.95033,0,47877,0.8,0.8,0,0,-0.95033,0,47877,0.8,0.8,0,0,-0.95033,0,47877,0.8,0.8,0,0,-0.95033,0,47877,0.8,0.8,0,0,-0.95033,0,47877,0.8,0.8,0,0,-0.95033,0,47877,0,0,0,0,0,0,0,0.8,0.8,0,0,-0.95033,0,47877,1
1,1,0.8,0.8,0,0,-0.95019,0.082114,47877,0.8,0.8,0,0,-0.95019,0.082114,47877,0.8,0.8,0,0,-0.95019,0.082114,47877,0.8,0.8,0,0,-0.95019,0.082114,47877,0.8,0.8,0,0,-0.95019,0.082114,47877,0.8,0.8,0,0,-0.95019,0.082114,47877,0,0,0,0,0,0,0,0.8,0.8,0,0,-0.95019,0.082114,47877,1
1,2,0.8,0.8,0,0,-0.94961,0.24629,47877,0.8,0.8,0,0,-0.94961,0.24629,47877,0.8,0.8,0,0,-0.94961,0.24629,47877,0.8,0.8,0,0,-0.94961,0.24629,47877,0.8,0.8,0,0,-0.94961,0.24629,47877,0.8,0.8,0,0,-0.94961,0.24629,47877,0,0,0,0,0,0,0,0.8,0.8,0,0,-0.94961,0.24629,47877,1
1,3,0.8,0.8,0,0,-0.94846,0.41032,47877,0.8,0.8,0,0,-0.94846,0.41032,47877,0.8,0.8,0,0,-0.94846,0.41032,47877,0.8,0.8,0,0,-0.94846,0.41032,47877,0.8,0.8,0,0,-0.94846,0.41032,47877,0.8,0.8,0,0,-0.94846,0.41032,47877,0,0,0,0,0,0,0,0.8,0.8,0,0,-0.94846,0.41032,47877,1
1,4,0.8,0.8,0,0,-0.94674,0.5741,47877,0.8,0.8,0,0,-0.94674,0.5741,47877,0.8,0.8,0,0,-0.94674,0.5741,47877,0.8,0.8,0,0,-0.94674,0.5741,47877,0.8,0.8,0,0,-0.94674,0.5741,47877,0.8,0.8,0,0,-0.94674,0.5741,47877,0,0,0,0,0,0,0,0.8,0.8,0,0,-0.94674,0.5741,47877,1
1,5,0.8,0.8,0,0,-0.94444,0.73753,47877,0.8,0.8,0,0,-0.94444,0.73753,47877,0.8,0.8,0,0,-0.94444,0.73753,47877,0.8,0.8,0,0,-0.94444,0.73753,47877,0.8,0.8,0,0,-0.94444,0.73753,47877,0.8,0.8,0,0,-0.94444,0.73753,47877,0,0,0,0,0,0,0,0.8,0.8,0,0,-0.94444,0.73753,47877,1
1,6,0.8,0.8,0,0,-0.94158,0.90052,47877,0.8,0.8,0,0,-0.94158,0.90052,47877,0.8,0.8,0,0,-0.94158,0.90052,47877,0.8,0.8,0,0,-0.94158,0.90052,47877,0.8,0.8,0,0,-0.94158,0.90052,47877,0.8,0.8,0,0,-0.94158,0.90052,47877,0,0,0,0,0,0,0,0.8,0.8,0,0,-0.94158,0.90052,47877,1
1,7,0.8,0.8,0,0,-0.93814,1.063,47877,0.8,0.8,0,0,-0.93814,1.063,47877,0.8,0.8,0,0,-0.93814,1.063,47877,0.8,0.8,0,0,-0.93814,1.063,47877,0.8,0.8,0,0,-0.93814,1.063,47877,0.8,0.8,0,0,-0.93814,1.063,47877,0,0,0,0,0,0,0,0.8,0.8,0,0,-0.93814,1.063,47877,1
1,8,0.8,0.8,0,0,-0.93414,1.2248,47877,0.8,0.8,0,0,-0.93414,1.2248,47877,0.8,0.8,0,0,-0.93414,1.2248,47877,0.8,0.8,0,0,-0.93414,1.2248,47877,0.8,0.8,0,0,-0.93414,1.2248,47877,0.8,0.8,0,0,-0.93414,1.2248,47877,0,0,0,0,0,0,0,0.8,0.8,0,0,-0.93414,1.2248,47877,1
1,9,0.8,0.8,0,0,-0.92957,1.3858,47877,0.8,0.8,0,0,-0.92957,1.3858,47877,0.8,0.8,0,0,-0.92957,1.3858,47877,0.8,0.8,0,0,-0.92957,1.3858,47877,0.8,0.8,0,0,-0.92957,1.3858,47877,0.8,0.8,0,0,-0.92957,1.3858,47877,0,0,0,0,0,0,0,0.8,0.8,0,0,-0.92957,1.3858,47877,1
1,10,0.8,0.8,0,0,-0.92444,1.546,47877,0.8,0.8,0,0,-0.92444,1.546,47877,0.8,0.8,0,0,-0.92444,1.546,47877,0.8,0.8,0,0,-0.92444,1.546,47877,0.8,0.8,0,0,-0.92444,1.546,47877,0.8,0.8,0,0,-0.92444,1.546,47877,0,0,0,0,0,0,0,0.8,0.8,0,0,-0.92444,1.546,47877,1
1,11,0.8,0.8,0,0,-0.91875,1.7053,47877,0.8,0.8,0,0,-0.91875,1.7053,47877,0.8,0.8,0,0,-0.91875,1.7053,47877,0.8,0.8,0,0,-0.91875,1.7053,47877,0.8,0.8,0,0,-0.91875,1.7053,47877,0.8,0.8,0,0,-0.91875,1.7053,47877,0,0,0,0,0,0,0,0.8,0.8,0,0,-0.91875,1.7053,47877,1
1,12,0.8,0.8,0,0,-0.9125,1.8636,47877,0.8,0.8,0,0,-0.9125,1.8636,47877,0.8,0.8,0,0,-0.9125,1.8636,47877,0.8,0.8,0,0,-0.9125,1.8636,47877,0.8,0.8,0,0,-0.9125,1.8636,47877,0.8,0.8,0,0,-0.9125,1.8636,47877,0,0,0,0,0,0,0,0.8,0.8,0,0,-0.9125,1.8636,47877,1
1,13,0.8,0.8,0,0,-0.9057,2.0207,47877,0.8,0.8,0,0,-0.9057,2.0207,47877,0.8,0.8,0,0,-0.9057,2.0207,47877,0.8,0.8,0,0,-0.9057,2.0207,47877,0.8,0.8,0,0,-0.9057,2.0207,47877,0.8,0.8,0,0,-0.9057,2.0207,47877,0,0,0,0,0,0,0,0.8,0.8,0,0,-0.9057,2.0207,47877,1
1,14,0.8,0.8,0,0,-0.89836,2.1766,47877,0.8,0.8,0,0,-0.89836,2.1766,47877,0.8,0.8,0,0,-0.89836,2.1766,47877,0.8,0.8,0,0,-0.89836,2.1766,47877,0.8,0.8,0,0,-0.89836,2.1766,47877,0.8,0.8,0,0,-0.89836,2.1766,47877,0,0,0,0,0,0,0,0.8,0.8,0,0,-0.89836,2.1766,47877,1
1,15,0.8,0.8,0,0,-0.89047,2.3312,47877,0.8,0.8,0,0,-0.89047,2.3312,47877,0.8,0.8,0,0,-0.89047,2.3312,47877,0.8,0.8,0,0,-0.89047,2.3312,47877,0.8,0.8,0,0,-0.89047,2.3312,47877,0.8,0.8,0,0,-0.89047,2.3312,47877,0,0,0,0,0,0,0,0.8,0.8,0,0,-0.89047,2.3312,47877,1
1,16,0.8,0.8,0,0,-0.88204,2.4844,47877,0.8,0.8,0,0,-0.88204,2.4844,47877,0.8,0.8,0,0,-0.88204,2.4844,47877,0.8,0.8,0,0,-0.88204,2.4844,47877,0.8,0.8,0,0,-0.88204,2.4844,47877,0.8,0.8,0,0,-0.88204,2.4844,47877,0,0,0,0,0,0,0,0.8,0.8,0,0,-0.88204,2.4844,47877,1
1,17,0.8,0.8,0,0,-0.87308,2.6361,47877,0.8,0.8,0,0,-0.87308,2.6361,47877,0.8,0.8,0,0,-0.87308,2.6361,47877,0.8,0.8,0,0,-0.87308,2.6361,47877,0.8,0.8,0,0,-0.87308,2.6361,47877,0.8,0.8,0,0,-0.87308,2.6361,47877,0,0,0,0,0,0,0,0.8,0.8,0,0,-0.87308,2.6361,47877,1
