h,N_el_x,N_el_y,r,dt,T,method,theta,beta,gamma,rel_L2_error_final,rel_H1_error_final,elapsed_time_s
0.05,20,20,1,0.1,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,5.323671e+00,6.863757e+00,0.013
0.05,20,20,1,0.05,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,1.131256e+00,1.297981e+00,0.019
0.05,20,20,1,0.01,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,4.663377e-01,5.729823e-01,0.092
0.05,20,20,1,0.005,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,5.638459e-01,6.755320e-01,0.185
0.05,20,20,1,0.001,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,6.157858e-01,7.304938e-01,0.855
0.05,20,20,2,0.1,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,4.517620e+00,1.379137e+01,0.028
0.05,20,20,2,0.05,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,2.358401e+00,5.548700e+00,0.037
0.05,20,20,2,0.01,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,2.327958e-01,2.555987e-01,0.129
0.05,20,20,2,0.005,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,3.646153e-02,1.977929e-01,0.281
0.05,20,20,2,0.001,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,6.185687e-02,2.966031e-01,1.406
0.025,40,40,1,0.1,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,5.313876e+00,1.230055e+01,0.021
0.025,40,40,1,0.05,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,1.985720e+00,3.468805e+00,0.030
0.025,40,40,1,0.01,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,7.633069e-02,1.576730e-01,0.126
0.025,40,40,1,0.005,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,2.170803e-01,3.367459e-01,0.274
0.025,40,40,1,0.001,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,2.828897e-01,4.237336e-01,1.406
0.025,40,40,2,0.1,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,2.710149e+00,1.672457e+01,0.090
0.025,40,40,2,0.05,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,2.456933e+00,1.233281e+01,0.108
0.025,40,40,2,0.01,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,4.401939e-01,5.484135e-01,0.297
0.025,40,40,2,0.005,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,1.192269e-01,1.417060e-01,0.566
0.025,40,40,2,0.001,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,2.113749e-02,1.759767e-01,3.100
0.0125,80,80,1,0.1,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,3.746459e+00,1.744369e+01,0.062
0.0125,80,80,1,0.05,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,2.462039e+00,9.001292e+00,0.076
0.0125,80,80,1,0.01,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,1.978039e-01,2.419775e-01,0.288
0.0125,80,80,1,0.005,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,3.569463e-02,1.102317e-01,0.543
0.0125,80,80,1,0.001,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,1.309347e-01,2.650928e-01,2.989
0.0125,80,80,2,0.1,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,2.201977e+00,1.822851e+01,0.564
0.0125,80,80,2,0.05,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,2.115600e+00,1.946985e+01,0.643
0.0125,80,80,2,0.01,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,7.810289e-01,1.212698e+00,1.039
0.0125,80,80,2,0.005,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,2.266499e-01,3.271079e-01,1.629
0.0125,80,80,2,0.001,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,3.043417e-03,1.152518e-01,9.119
0.00625,160,160,1,0.1,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,2.232755e+00,1.955183e+01,0.335
0.00625,160,160,1,0.05,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,2.328795e+00,1.771318e+01,0.380
0.00625,160,160,1,0.01,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,5.037878e-01,7.272204e-01,0.895
0.00625,160,160,1,0.005,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,1.009269e-01,1.418495e-01,1.547
0.00625,160,160,1,0.001,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,5.649496e-02,1.607879e-01,8.688
0.00625,160,160,2,0.1,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,3.018929e+00,2.329670e+01,3.813
0.00625,160,160,2,0.05,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,2.285120e+00,2.266434e+01,4.138
0.00625,160,160,2,0.01,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,1.342246e+00,3.538626e+00,5.975
0.00625,160,160,2,0.005,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,4.132452e-01,6.930941e-01,7.875
0.00625,160,160,2,0.001,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,1.860955e-02,4.745217e-02,30.463
0.003125,320,320,1,0.1,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,2.497505e+00,2.221568e+01,2.165
0.003125,320,320,1,0.05,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,2.070792e+00,2.418025e+01,2.320
0.003125,320,320,1,0.01,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,9.602048e-01,1.924592e+00,4.419
0.003125,320,320,1,0.005,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,2.608302e-01,4.324154e-01,6.808
0.003125,320,320,1,0.001,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,1.621612e-02,7.530970e-02,29.481
0.003125,320,320,2,0.1,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,3.744898e+00,3.450206e+01,34.526
0.003125,320,320,2,0.05,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,3.046750e+00,2.409979e+01,35.042
0.003125,320,320,2,0.01,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,2.073006e+00,1.277928e+01,44.573
0.003125,320,320,2,0.005,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,7.547453e-01,1.800473e+00,53.124
0.003125,320,320,2,0.001,1,newmark-standing-mode-wsol,N/A,0.250000,0.500000,3.793995e-02,8.863853e-02,121.514
0.05,20,20,1,0.1,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,1.284196e+16,2.532043e+17,0.012
0.05,20,20,1,0.05,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,4.943772e+21,1.030042e+23,0.017
0.05,20,20,1,0.01,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,4.711854e-01,5.784433e-01,0.094
0.05,20,20,1,0.005,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,5.650148e-01,6.804511e-01,0.163
0.05,20,20,1,0.001,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,6.158331e-01,7.310361e-01,0.857
0.05,20,20,2,0.1,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,1.273158e+23,5.954359e+24,0.021
0.05,20,20,2,0.05,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,2.486964e+35,1.172330e+37,0.035
0.05,20,20,2,0.01,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,-nan,-nan,0.156
0.05,20,20,2,0.005,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,3.563105e-02,2.006677e-01,0.287
0.05,20,20,2,0.001,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,6.185931e-02,2.937338e-01,1.410
0.025,40,40,1,0.1,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,1.923090e+21,7.547648e+22,0.018
0.025,40,40,1,0.05,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,5.006120e+32,2.088293e+34,0.029
0.025,40,40,1,0.01,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,3.931514e+29,1.385724e+31,0.139
0.025,40,40,1,0.005,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,2.181461e-01,3.343845e-01,0.309
0.025,40,40,1,0.001,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,2.829339e-01,4.250780e-01,1.372
0.025,40,40,2,0.1,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,4.356249e+28,4.098952e+30,0.033
0.025,40,40,2,0.05,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,-nan,-nan,0.077
0.025,40,40,2,0.01,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,-nan,-nan,0.313
0.025,40,40,2,0.005,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,-nan,-nan,0.613
0.025,40,40,2,0.001,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,2.121129e-02,1.860630e-01,3.056
0.0125,80,80,1,0.1,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,2.788681e+26,2.117315e+28,0.036
0.0125,80,80,1,0.05,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,-nan,-nan,0.065
0.0125,80,80,1,0.01,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,-nan,-nan,0.279
0.0125,80,80,1,0.005,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,-nan,-nan,0.531
0.0125,80,80,1,0.001,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,1.309702e-01,2.624999e-01,2.969
0.0125,80,80,2,0.1,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,1.591808e+34,2.999488e+36,0.118
0.0125,80,80,2,0.05,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,-nan,-nan,0.205
0.0125,80,80,2,0.01,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,-nan,-nan,0.708
0.0125,80,80,2,0.005,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,-nan,-nan,1.115
0.0125,80,80,2,0.001,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,2.985278e-03,1.123220e-01,10.791
0.00625,160,160,1,0.1,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,5.283878e+31,7.022889e+33,0.158
0.00625,160,160,1,0.05,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,-nan,-nan,0.218
0.00625,160,160,1,0.01,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,-nan,-nan,0.702
0.00625,160,160,1,0.005,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,-nan,-nan,1.085
0.00625,160,160,1,0.001,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,5.653409e-02,1.624528e-01,9.729
0.00625,160,160,2,0.1,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,5.886020e+39,-nan,0.414
0.00625,160,160,2,0.05,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,-nan,-nan,0.730
0.00625,160,160,2,0.01,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,-nan,-nan,1.890
0.00625,160,160,2,0.005,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,-nan,-nan,2.398
0.00625,160,160,2,0.001,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,-nan,-nan,23.627
0.003125,320,320,1,0.1,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,1.570153e+37,inf,0.376
0.003125,320,320,1,0.05,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,-nan,-nan,0.621
0.003125,320,320,1,0.01,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,-nan,-nan,1.663
0.003125,320,320,1,0.005,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,-nan,-nan,2.214
0.003125,320,320,1,0.001,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,-nan,-nan,27.358
0.003125,320,320,2,0.1,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,-nan,-nan,1.635
0.003125,320,320,2,0.05,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,-nan,-nan,2.956
0.003125,320,320,2,0.01,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,-nan,-nan,6.172
0.003125,320,320,2,0.005,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,-nan,-nan,7.837
0.003125,320,320,2,0.001,1,newmark-standing-mode-wsol,N/A,0.000000,0.500000,-nan,-nan,18.681
