h,N_el_x,N_el_y,r,dt,T,method,theta,beta,gamma,rel_L2_error_final,rel_H1_error_final,elapsed_time_s
0.1,10,10,1,0.05,1,theta-conv-params,0.000000,N/A,N/A,4.436083e+02,4.256351e+03,0.021
0.1,10,10,1,0.02,1,theta-conv-params,0.000000,N/A,N/A,4.012124e+01,4.176900e+02,0.038
0.1,10,10,1,0.01,1,theta-conv-params,0.000000,N/A,N/A,1.461591e-01,8.865354e-01,0.065
0.1,10,10,1,0.005,1,theta-conv-params,0.000000,N/A,N/A,1.691465e-01,2.152858e-01,0.120
0.1,10,10,1,0.002,1,theta-conv-params,0.000000,N/A,N/A,1.961830e-01,2.333820e-01,0.283
0.1,10,10,1,0.001,1,theta-conv-params,0.000000,N/A,N/A,2.045794e-01,2.396652e-01,0.556
0.1,10,10,1,0.0005,1,theta-conv-params,0.000000,N/A,N/A,2.104700e-01,2.442161e-01,1.099
0.1,10,10,1,0.0002,1,theta-conv-params,0.000000,N/A,N/A,2.117963e-01,2.452075e-01,2.754
0.1,10,10,1,0.0001,1,theta-conv-params,0.000000,N/A,N/A,2.122360e-01,2.455374e-01,5.527
0.1,10,10,2,0.01,1,theta-conv-params,0.000000,N/A,N/A,2.236197e+12,5.348962e+13,0.107
0.1,10,10,2,0.005,1,theta-conv-params,0.000000,N/A,N/A,8.491674e+06,2.034991e+08,0.201
0.1,10,10,2,0.002,1,theta-conv-params,0.000000,N/A,N/A,5.322823e+00,1.272448e+02,0.485
0.1,10,10,2,0.001,1,theta-conv-params,0.000000,N/A,N/A,1.151713e-02,1.599924e-01,0.958
0.1,10,10,2,0.0005,1,theta-conv-params,0.000000,N/A,N/A,4.282468e-03,1.985602e-02,1.912
0.1,10,10,2,0.0002,1,theta-conv-params,0.000000,N/A,N/A,1.327000e-03,1.052063e-02,4.772
0.1,10,10,2,0.0001,1,theta-conv-params,0.000000,N/A,N/A,6.142914e-04,9.934843e-03,9.482
0.05,20,20,1,0.02,1,theta-conv-params,0.000000,N/A,N/A,3.935626e+09,8.270588e+10,0.063
0.05,20,20,1,0.01,1,theta-conv-params,0.000000,N/A,N/A,2.173431e+07,4.710490e+08,0.109
0.05,20,20,1,0.005,1,theta-conv-params,0.000000,N/A,N/A,1.262367e+02,2.709542e+03,0.207
0.05,20,20,1,0.002,1,theta-conv-params,0.000000,N/A,N/A,3.427955e-02,8.535917e-02,0.496
0.05,20,20,1,0.001,1,theta-conv-params,0.000000,N/A,N/A,4.409769e-02,8.574771e-02,0.973
0.05,20,20,1,0.0005,1,theta-conv-params,0.000000,N/A,N/A,4.935918e-02,8.822577e-02,1.903
0.05,20,20,1,0.0002,1,theta-conv-params,0.000000,N/A,N/A,5.193248e-02,8.952203e-02,4.716
0.05,20,20,1,0.0001,1,theta-conv-params,0.000000,N/A,N/A,5.278472e-02,8.996368e-02,9.365
0.05,20,20,2,0.005,1,theta-conv-params,0.000000,N/A,N/A,4.914034e+28,2.361026e+30,0.314
0.05,20,20,2,0.002,1,theta-conv-params,0.000000,N/A,N/A,1.813876e+13,8.709820e+14,0.709
0.05,20,20,2,0.001,1,theta-conv-params,0.000000,N/A,N/A,1.492104e+04,7.142898e+05,1.374
0.05,20,20,2,0.0005,1,theta-conv-params,0.000000,N/A,N/A,2.091121e-01,1.000237e+01,2.708
0.05,20,20,2,0.0002,1,theta-conv-params,0.000000,N/A,N/A,1.942654e-03,1.025208e-02,6.691
0.05,20,20,2,0.0001,1,theta-conv-params,0.000000,N/A,N/A,9.411821e-04,2.864780e-03,13.406
0.025,40,40,1,0.01,1,theta-conv-params,0.000000,N/A,N/A,4.137906e+25,1.797874e+27,0.180
0.025,40,40,1,0.005,1,theta-conv-params,0.000000,N/A,N/A,5.240997e+20,2.300003e+22,0.341
0.025,40,40,1,0.002,1,theta-conv-params,0.000000,N/A,N/A,5.920333e+06,2.570661e+08,0.794
0.025,40,40,1,0.001,1,theta-conv-params,0.000000,N/A,N/A,2.826337e-01,1.205679e+01,1.547
0.025,40,40,1,0.0005,1,theta-conv-params,0.000000,N/A,N/A,8.645465e-03,3.901518e-02,3.058
0.025,40,40,1,0.0002,1,theta-conv-params,0.000000,N/A,N/A,1.152942e-02,3.961596e-02,7.611
0.025,40,40,1,0.0001,1,theta-conv-params,0.000000,N/A,N/A,1.248509e-02,3.986941e-02,15.089
0.025,40,40,2,0.002,1,theta-conv-params,0.000000,N/A,N/A,-nan,-nan,2.204
0.025,40,40,2,0.001,1,theta-conv-params,0.000000,N/A,N/A,1.056041e+31,1.014990e+33,4.358
0.025,40,40,2,0.0005,1,theta-conv-params,0.000000,N/A,N/A,3.100454e+13,2.979841e+15,8.857
0.025,40,40,2,0.0002,1,theta-conv-params,0.000000,N/A,N/A,4.573631e+01,4.397308e+03,21.939
0.025,40,40,2,0.0001,1,theta-conv-params,0.000000,N/A,N/A,2.218823e-03,1.907624e-01,41.763
0.0125,80,80,1,0.005,1,theta-conv-params,0.000000,N/A,N/A,-nan,-nan,0.935
0.0125,80,80,1,0.002,1,theta-conv-params,0.000000,N/A,N/A,-nan,-nan,2.239
0.0125,80,80,1,0.001,1,theta-conv-params,0.000000,N/A,N/A,6.511892e+22,5.800237e+24,4.429
0.0125,80,80,1,0.0005,1,theta-conv-params,0.000000,N/A,N/A,3.871822e+07,3.428379e+09,8.861
0.0125,80,80,1,0.0002,1,theta-conv-params,0.000000,N/A,N/A,9.794213e-03,8.472888e-01,20.897
