h,N_el_x,N_el_y,r,dt,T,method,theta,beta,gamma,rel_L2_error_avg,rel_H1_error_avg,elapsed_time_s
0.05,20,20,1,0.1,1,theta-standing-mode-wsol,0.500000,N/A,N/A,2.030386e-01,2.230425e-01,0.048
0.05,20,20,1,0.05,1,theta-standing-mode-wsol,0.500000,N/A,N/A,1.033392e-02,7.769249e-02,0.076
0.05,20,20,1,0.01,1,theta-standing-mode-wsol,0.500000,N/A,N/A,1.496515e-02,7.863528e-02,0.358
0.05,20,20,1,0.005,1,theta-standing-mode-wsol,0.500000,N/A,N/A,2.772200e-02,9.068207e-02,0.715
0.05,20,20,1,0.001,1,theta-standing-mode-wsol,0.500000,N/A,N/A,1.829702e-02,8.235675e-02,3.575
0.05,20,20,2,0.1,1,theta-standing-mode-wsol,0.500000,N/A,N/A,2.542240e-01,2.542415e-01,0.060
0.05,20,20,2,0.05,1,theta-standing-mode-wsol,0.500000,N/A,N/A,3.869444e-02,3.883265e-02,0.106
0.05,20,20,2,0.01,1,theta-standing-mode-wsol,0.500000,N/A,N/A,6.915160e-04,2.561365e-03,0.472
0.05,20,20,2,0.005,1,theta-standing-mode-wsol,0.500000,N/A,N/A,3.390712e-04,2.560868e-03,0.960
0.05,20,20,2,0.001,1,theta-standing-mode-wsol,0.500000,N/A,N/A,7.474880e-05,2.424380e-03,4.878
0.025,40,40,1,0.1,1,theta-standing-mode-wsol,0.500000,N/A,N/A,2.414346e-01,2.460779e-01,0.077
0.025,40,40,1,0.05,1,theta-standing-mode-wsol,0.500000,N/A,N/A,3.149389e-02,5.269634e-02,0.120
0.025,40,40,1,0.01,1,theta-standing-mode-wsol,0.500000,N/A,N/A,3.275545e-03,3.849315e-02,0.610
0.025,40,40,1,0.005,1,theta-standing-mode-wsol,0.500000,N/A,N/A,6.716590e-03,4.089864e-02,1.125
0.025,40,40,1,0.001,1,theta-standing-mode-wsol,0.500000,N/A,N/A,4.581877e-03,3.930533e-02,5.950
0.025,40,40,2,0.1,1,theta-standing-mode-wsol,0.500000,N/A,N/A,2.542691e-01,2.542702e-01,0.177
0.025,40,40,2,0.05,1,theta-standing-mode-wsol,0.500000,N/A,N/A,3.872026e-02,3.872897e-02,0.268
0.025,40,40,2,0.01,1,theta-standing-mode-wsol,0.500000,N/A,N/A,6.892041e-04,1.011837e-03,1.118
0.025,40,40,2,0.005,1,theta-standing-mode-wsol,0.500000,N/A,N/A,3.322273e-04,8.002181e-04,2.037
0.025,40,40,2,0.001,1,theta-standing-mode-wsol,0.500000,N/A,N/A,1.325876e-05,5.986299e-04,10.342
0.0125,80,80,1,0.1,1,theta-standing-mode-wsol,0.500000,N/A,N/A,2.510610e-01,2.522023e-01,0.218
