h,N_el_x,N_el_y,r,dt,T,method,theta,beta,gamma,rel_L2_error_final,rel_H1_error_final,elapsed_time_s
0.05,20,20,1,0.1,1,theta-standing-mode-wsol,0.000000,N/A,N/A,2.403122e+04,4.557185e+05,0.012
0.05,20,20,1,0.05,1,theta-standing-mode-wsol,0.000000,N/A,N/A,5.575484e+06,1.173900e+08,0.036
0.05,20,20,1,0.01,1,theta-standing-mode-wsol,0.000000,N/A,N/A,2.065597e+07,4.471206e+08,0.111
0.05,20,20,1,0.005,1,theta-standing-mode-wsol,0.000000,N/A,N/A,1.227412e+02,2.631968e+03,0.241
0.05,20,20,1,0.001,1,theta-standing-mode-wsol,0.000000,N/A,N/A,4.409769e-02,8.574772e-02,1.091
0.05,20,20,2,0.1,1,theta-standing-mode-wsol,0.000000,N/A,N/A,1.595980e+09,7.641295e+10,0.029
0.05,20,20,2,0.05,1,theta-standing-mode-wsol,0.000000,N/A,N/A,6.303348e+14,3.022626e+16,0.053
0.05,20,20,2,0.01,1,theta-standing-mode-wsol,0.000000,N/A,N/A,2.201334e+32,1.056865e+34,0.224
0.05,20,20,2,0.005,1,theta-standing-mode-wsol,0.000000,N/A,N/A,4.914019e+28,2.361018e+30,0.482
0.05,20,20,2,0.001,1,theta-standing-mode-wsol,0.000000,N/A,N/A,1.492041e+04,7.142594e+05,2.063
0.025,40,40,1,0.1,1,theta-standing-mode-wsol,0.000000,N/A,N/A,9.804705e+05,3.604665e+07,0.028
0.025,40,40,1,0.05,1,theta-standing-mode-wsol,0.000000,N/A,N/A,1.360592e+11,5.627538e+12,0.048
0.025,40,40,1,0.01,1,theta-standing-mode-wsol,0.000000,N/A,N/A,6.055003e+25,2.647893e+27,0.219
0.025,40,40,1,0.005,1,theta-standing-mode-wsol,0.000000,N/A,N/A,9.203765e+20,4.057921e+22,0.419
0.025,40,40,1,0.001,1,theta-standing-mode-wsol,0.000000,N/A,N/A,3.343692e-01,1.436895e+01,2.011
0.025,40,40,2,0.1,1,theta-standing-mode-wsol,0.000000,N/A,N/A,1.107274e+11,1.061997e+13,0.057
0.025,40,40,2,0.05,1,theta-standing-mode-wsol,0.000000,N/A,N/A,1.009000e+20,9.694808e+21,0.115
0.025,40,40,2,0.01,1,theta-standing-mode-wsol,0.000000,N/A,N/A,-nan,-nan,0.547
0.025,40,40,2,0.005,1,theta-standing-mode-wsol,0.000000,N/A,N/A,-nan,-nan,1.129
0.025,40,40,2,0.001,1,theta-standing-mode-wsol,0.000000,N/A,N/A,1.108030e+31,1.068478e+33,5.821
0.0125,80,80,1,0.1,1,theta-standing-mode-wsol,0.000000,N/A,N/A,4.338454e+07,3.259401e+09,0.057
0.0125,80,80,1,0.05,1,theta-standing-mode-wsol,0.000000,N/A,N/A,7.513337e+15,6.484362e+17,0.115
