scheme,Nel,R,dt,T,returncode,elapsed_s,cfl_limit,energy_ratio,energy_decay_rate,max_rel_L2,final_rel_L2,final_rel_H1
theta-0.0,60,1,0.01,5.0,0,3.474,0.01060660,5.051482576839516e+254,-1.8640157110108915e+254,,nan,nan
theta-0.0,60,1,0.005,5.0,0,5.280,0.01060660,2.2756010793902906e+255,-8.619701058296553e+254,,nan,nan
theta-0.0,60,1,0.002,5.0,0,15.657,0.01060660,2.81568931062857e+255,-7.025172930710005e+254,,nan,nan
theta-0.0,60,1,0.001,5.0,0,37.916,0.01060660,2.430874501903206e+174,-4.861749003806413e+173,,nan,nan
theta-0.0,60,1,0.0005,5.0,0,71.403,0.01060660,4.518718203376776e+82,-9.036532753478204e+81,,inf,nan
theta-0.0,60,1,0.0001,5.0,0,355.450,0.01060660,425548.474972029,-85109.49499440582,,7.588479,501.6573
theta-0.5,60,1,0.1,5.0,0,1.921,inf,1.0,0.0,,0.2109595,0.213215
theta-0.5,60,1,0.05,5.0,0,2.272,inf,1.0,0.0,,0.03605706,0.04472659
theta-0.5,60,1,0.02,5.0,0,3.325,inf,1.0,0.0,,0.001847244,0.02565528
theta-0.5,60,1,0.01,5.0,0,5.129,inf,1.0,0.0,,0.001620971,0.0255549
theta-0.5,60,1,0.005,5.0,0,8.438,inf,1.0,0.0,,0.002209024,0.02558349
theta-0.5,60,1,0.002,5.0,0,18.866,inf,1.0,0.0,,0.002298583,0.02558907
theta-0.5,60,1,0.001,5.0,0,36.562,inf,1.0,0.0,,0.002254829,0.02558632
theta-0.5,60,1,0.0005,5.0,0,76.467,inf,1.0,0.0,,0.002278629,0.02558781
theta-0.5,60,1,0.0001,5.0,0,348.229,inf,1.0,0.0,,0.002263131,0.02558684
theta-1.0,60,1,0.1,5.0,0,1.971,inf,0.00012182248026641552,0.19605454461171248,,0.9898736,0.9898736
theta-1.0,60,1,0.05,5.0,0,2.272,inf,0.008065766244815484,0.1964226205455811,,0.9033257,0.9033291
theta-1.0,60,1,0.02,5.0,0,3.626,inf,0.13980429009193054,0.1713537270733206,,0.6221111,0.622186
theta-1.0,60,1,0.01,5.0,0,5.129,inf,0.37281932761162806,0.12518576295177083,,0.3891338,0.3894465
theta-1.0,60,1,0.005,5.0,0,8.839,inf,0.6103657497911277,0.07784900104073374,,0.2200713,0.2209711
theta-1.0,60,1,0.002,5.0,0,18.965,inf,0.8207642785327409,0.03583281116898423,,0.09601756,0.09875492
theta-1.0,60,1,0.001,5.0,0,37.564,inf,0.905974971521694,0.018805005695661185,,0.05025797,0.05580659
theta-1.0,60,1,0.0005,5.0,0,71.254,inf,0.9518167040290576,0.00963569562462601,,0.02656335,0.03638489
theta-1.0,60,1,0.0001,5.0,0,348.729,inf,0.990169609703102,0.001966078059379602,,0.007143582,0.02634788
newmark-0.00,60,1,0.01,5.0,0,2.623,0.01060660,1.041518704091064e+254,-6.55043210120166e+253,,nan,nan
newmark-0.00,60,1,0.005,5.0,0,8.137,0.01060660,0.9999918924616108,1.6198877900594182e-06,,0.002555843,0.02560677
newmark-0.00,60,1,0.002,5.0,0,16.911,0.01060660,0.9999959462308053,8.104296670579155e-07,,0.002350991,0.02559246
newmark-0.00,60,1,0.001,5.0,0,32.151,0.01060660,1.0,0.0,,0.002267408,0.02558711
newmark-0.00,60,1,0.0005,5.0,0,62.782,0.01060660,1.0,0.0,,0.002281806,0.02558801
newmark-0.00,60,1,0.0001,5.0,0,314.239,0.01060660,1.0,0.0,,0.002263257,0.02558685
newmark-0.25,60,1,0.1,5.0,0,1.921,inf,1.0,0.0,,0.2109595,0.213215
newmark-0.25,60,1,0.05,5.0,0,2.272,inf,1.0,0.0,,0.03605706,0.04472659
newmark-0.25,60,1,0.02,5.0,0,3.074,inf,1.0,0.0,,0.001847244,0.02565528
newmark-0.25,60,1,0.01,5.0,0,4.729,inf,1.0,0.0,,0.001620971,0.0255549
newmark-0.25,60,1,0.005,5.0,0,7.937,inf,1.0,0.0,,0.002209024,0.02558349
newmark-0.25,60,1,0.002,5.0,0,17.512,inf,1.0,0.0,,0.002298583,0.02558907
newmark-0.25,60,1,0.001,5.0,0,33.705,inf,1.0,0.0,,0.002254829,0.02558632
newmark-0.25,60,1,0.0005,5.0,0,65.087,inf,1.0,0.0,,0.002278629,0.02558781
newmark-0.25,60,1,0.0001,5.0,0,301.510,inf,1.0,0.0,,0.002263131,0.02558684
