"N","Time","avg(X)","avg(Y)","avg(Z)","avg(partitioning)","avg(u)","avg(v)","avg(vtkOriginalPointIds)","max(X)","max(Y)","max(Z)","max(partitioning)","max(u)","max(v)","max(vtkOriginalPointIds)","med(X)","med(Y)","med(Z)","med(partitioning)","med(u)","med(v)","med(vtkOriginalPointIds)","min(X)","min(Y)","min(Z)","min(partitioning)","min(u)","min(v)","min(vtkOriginalPointIds)","q1(X)","q1(Y)","q1(Z)","q1(partitioning)","q1(u)","q1(v)","q1(vtkOriginalPointIds)","q3(X)","q3(Y)","q3(Z)","q3(partitioning)","q3(u)","q3(v)","q3(vtkOriginalPointIds)","std(X)","std(Y)","std(Z)","std(partitioning)","std(u)","std(v)","std(vtkOriginalPointIds)","sum(X)","sum(Y)","sum(Z)","sum(partitioning)","sum(u)","sum(v)","sum(vtkOriginalPointIds)","vtkValidPointMask"
1,0,0.5,0.5,0,0,1,0,76317,0.5,0.5,0,0,1,0,76317,0.5,0.5,0,0,1,0,76317,0.5,0.5,0,0,1,0,76317,0.5,0.5,0,0,1,0,76317,0.5,0.5,0,0,1,0,76317,0,0,0,0,0,0,0,0.5,0.5,0,0,1,0,76317,1
1,1,0.5,0.5,0,0,1,-0.0098682,76317,0.5,0.5,0,0,1,-0.0098682,76317,0.5,0.5,0,0,1,-0.0098682,76317,0.5,0.5,0,0,1,-0.0098682,76317,0.5,0.5,0,0,1,-0.0098682,76317,0.5,0.5,0,0,1,-0.0098682,76317,0,0,0,0,0,0,0,0.5,0.5,0,0,1,-0.0098682,76317,1
1,2,0.5,0.5,0,0,0.99998,-0.029606,76317,0.5,0.5,0,0,0.99998,-0.029606,76317,0.5,0.5,0,0,0.99998,-0.029606,76317,0.5,0.5,0,0,0.99998,-0.029606,76317,0.5,0.5,0,0,0.99998,-0.029606,76317,0.5,0.5,0,0,0.99998,-0.029606,76317,0,0,0,0,0,0,0,0.5,0.5,0,0,0.99998,-0.029606,76317,1
1,3,0.5,0.5,0,0,0.99994,-0.049346,76317,0.5,0.5,0,0,0.99994,-0.049346,76317,0.5,0.5,0,0,0.99994,-0.049346,76317,0.5,0.5,0,0,0.99994,-0.049346,76317,0.5,0.5,0,0,0.99994,-0.049346,76317,0.5,0.5,0,0,0.99994,-0.049346,76317,0,0,0,0,0,0,0,0.5,0.5,0,0,0.99994,-0.049346,76317,1
1,4,0.5,0.5,0,0,0.99988,-0.069086,76317,0.5,0.5,0,0,0.99988,-0.069086,76317,0.5,0.5,0,0,0.99988,-0.069086,76317,0.5,0.5,0,0,0.99988,-0.069086,76317,0.5,0.5,0,0,0.99988,-0.069086,76317,0.5,0.5,0,0,0.99988,-0.069086,76317,0,0,0,0,0,0,0,0.5,0.5,0,0,0.99988,-0.069086,76317,1
1,5,0.5,0.5,0,0,0.9998,-0.088822,76317,0.5,0.5,0,0,0.9998,-0.088822,76317,0.5,0.5,0,0,0.9998,-0.088822,76317,0.5,0.5,0,0,0.9998,-0.088822,76317,0.5,0.5,0,0,0.9998,-0.088822,76317,0.5,0.5,0,0,0.9998,-0.088822,76317,0,0,0,0,0,0,0,0.5,0.5,0,0,0.9998,-0.088822,76317,1
1,6,0.5,0.5,0,0,0.9997,-0.10855,76317,0.5,0.5,0,0,0.9997,-0.10855,76317,0.5,0.5,0,0,0.9997,-0.10855,76317,0.5,0.5,0,0,0.9997,-0.10855,76317,0.5,0.5,0,0,0.9997,-0.10855,76317,0.5,0.5,0,0,0.9997,-0.10855,76317,0,0,0,0,0,0,0,0.5,0.5,0,0,0.9997,-0.10855,76317,1
1,7,0.5,0.5,0,0,0.99958,-0.12829,76317,0.5,0.5,0,0,0.99958,-0.12829,76317,0.5,0.5,0,0,0.99958,-0.12829,76317,0.5,0.5,0,0,0.99958,-0.12829,76317,0.5,0.5,0,0,0.99958,-0.12829,76317,0.5,0.5,0,0,0.99958,-0.12829,76317,0,0,0,0,0,0,0,0.5,0.5,0,0,0.99958,-0.12829,76317,1
1,8,0.5,0.5,0,0,0.99944,-0.14802,76317,0.5,0.5,0,0,0.99944,-0.14802,76317,0.5,0.5,0,0,0.99944,-0.14802,76317,0.5,0.5,0,0,0.99944,-0.14802,76317,0.5,0.5,0,0,0.99944,-0.14802,76317,0.5,0.5,0,0,0.99944,-0.14802,76317,0,0,0,0,0,0,0,0.5,0.5,0,0,0.99944,-0.14802,76317,1
1,9,0.5,0.5,0,0,0.99928,-0.16774,76317,0.5,0.5,0,0,0.99928,-0.16774,76317,0.5,0.5,0,0,0.99928,-0.16774,76317,0.5,0.5,0,0,0.99928,-0.16774,76317,0.5,0.5,0,0,0.99928,-0.16774,76317,0.5,0.5,0,0,0.99928,-0.16774,76317,0,0,0,0,0,0,0,0.5,0.5,0,0,0.99928,-0.16774,76317,1
1,10,0.5,0.5,0,0,0.99911,-0.18747,76317,0.5,0.5,0,0,0.99911,-0.18747,76317,0.5,0.5,0,0,0.99911,-0.18747,76317,0.5,0.5,0,0,0.99911,-0.18747,76317,0.5,0.5,0,0,0.99911,-0.18747,76317,0.5,0.5,0,0,0.99911,-0.18747,76317,0,0,0,0,0,0,0,0.5,0.5,0,0,0.99911,-0.18747,76317,1
1,11,0.5,0.5,0,0,0.99891,-0.20719,76317,0.5,0.5,0,0,0.99891,-0.20719,76317,0.5,0.5,0,0,0.99891,-0.20719,76317,0.5,0.5,0,0,0.99891,-0.20719,76317,0.5,0.5,0,0,0.99891,-0.20719,76317,0.5,0.5,0,0,0.99891,-0.20719,76317,0,0,0,0,0,0,0,0.5,0.5,0,0,0.99891,-0.20719,76317,1
1,12,0.5,0.5,0,0,0.99869,-0.2269,76317,0.5,0.5,0,0,0.99869,-0.2269,76317,0.5,0.5,0,0,0.99869,-0.2269,76317,0.5,0.5,0,0,0.99869,-0.2269,76317,0.5,0.5,0,0,0.99869,-0.2269,76317,0.5,0.5,0,0,0.99869,-0.2269,76317,0,0,0,0,0,0,0,0.5,0.5,0,0,0.99869,-0.2269,76317,1
1,13,0.5,0.5,0,0,0.99846,-0.24661,76317,0.5,0.5,0,0,0.99846,-0.24661,76317,0.5,0.5,0,0,0.99846,-0.24661,76317,0.5,0.5,0,0,0.99846,-0.24661,76317,0.5,0.5,0,0,0.99846,-0.24661,76317,0.5,0.5,0,0,0.99846,-0.24661,76317,0,0,0,0,0,0,0,0.5,0.5,0,0,0.99846,-0.24661,76317,1
1,14,0.5,0.5,0,0,0.9982,-0.26632,76317,0.5,0.5,0,0,0.9982,-0.26632,76317,0.5,0.5,0,0,0.9982,-0.26632,76317,0.5,0.5,0,0,0.9982,-0.26632,76317,0.5,0.5,0,0,0.9982,-0.26632,76317,0.5,0.5,0,0,0.9982,-0.26632,76317,0,0,0,0,0,0,0,0.5,0.5,0,0,0.9982,-0.26632,76317,1
1,15,0.5,0.5,0,0,0.99792,-0.28602,76317,0.5,0.5,0,0,0.99792,-0.28602,76317,0.5,0.5,0,0,0.99792,-0.28602,76317,0.5,0.5,0,0,0.99792,-0.28602,76317,0.5,0.5,0,0,0.99792,-0.28602,76317,0.5,0.5,0,0,0.99792,-0.28602,76317,0,0,0,0,0,0,0,0.5,0.5,0,0,0.99792,-0.28602,76317,1
