scheme,binary,nprocs,repeat,Nel,R,Dt,T,Theta,Beta,Gamma,returncode,seconds
theta-0.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,1,1,640,1,0.0008,0.5,0.0,,,0,369.499388
theta-0.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,1,2,640,1,0.0008,0.5,0.0,,,0,376.439416
theta-0.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,1,3,640,1,0.0008,0.5,0.0,,,0,371.101933
theta-0.5,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,1,1,640,1,0.0008,0.5,0.5,,,0,652.112261
theta-0.5,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,1,2,640,1,0.0008,0.5,0.5,,,0,649.468829
theta-0.5,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,1,3,640,1,0.0008,0.5,0.5,,,0,648.879397
theta-1.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,1,1,640,1,0.0008,0.5,1.0,,,0,718.164143
theta-1.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,1,2,640,1,0.0008,0.5,1.0,,,0,664.764120
theta-1.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,1,3,640,1,0.0008,0.5,1.0,,,0,665.727540
newmark-0.00,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,1,1,640,1,0.0008,0.5,,0.0,0.5,0,140.351674
newmark-0.00,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,1,2,640,1,0.0008,0.5,,0.0,0.5,0,141.289389
newmark-0.00,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,1,3,640,1,0.0008,0.5,,0.0,0.5,0,140.248969
newmark-0.25,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,1,1,640,1,0.0008,0.5,,0.25,0.5,0,287.054671
newmark-0.25,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,1,2,640,1,0.0008,0.5,,0.25,0.5,0,287.377052
newmark-0.25,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,1,3,640,1,0.0008,0.5,,0.25,0.5,0,289.016451
theta-0.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,2,1,640,1,0.0008,0.5,0.0,,,0,193.750614
theta-0.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,2,2,640,1,0.0008,0.5,0.0,,,0,193.432863
theta-0.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,2,3,640,1,0.0008,0.5,0.0,,,0,193.545432
theta-0.5,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,2,1,640,1,0.0008,0.5,0.5,,,0,359.490080
theta-0.5,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,2,2,640,1,0.0008,0.5,0.5,,,0,361.652799
theta-0.5,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,2,3,640,1,0.0008,0.5,0.5,,,0,358.193538
theta-1.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,2,1,640,1,0.0008,0.5,1.0,,,0,366.266101
theta-1.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,2,2,640,1,0.0008,0.5,1.0,,,0,369.150658
theta-1.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,2,3,640,1,0.0008,0.5,1.0,,,0,391.928496
newmark-0.00,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,2,1,640,1,0.0008,0.5,,0.0,0.5,0,72.580191
newmark-0.00,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,2,2,640,1,0.0008,0.5,,0.0,0.5,0,72.713076
newmark-0.00,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,2,3,640,1,0.0008,0.5,,0.0,0.5,0,77.396697
newmark-0.25,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,2,1,640,1,0.0008,0.5,,0.25,0.5,0,160.875528
newmark-0.25,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,2,2,640,1,0.0008,0.5,,0.25,0.5,0,161.266454
newmark-0.25,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,2,3,640,1,0.0008,0.5,,0.25,0.5,0,161.742388
theta-0.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,4,1,640,1,0.0008,0.5,0.0,,,0,101.979643
theta-0.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,4,2,640,1,0.0008,0.5,0.0,,,0,102.162242
theta-0.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,4,3,640,1,0.0008,0.5,0.0,,,0,101.478065
theta-0.5,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,4,1,640,1,0.0008,0.5,0.5,,,0,186.799747
theta-0.5,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,4,2,640,1,0.0008,0.5,0.5,,,0,186.440236
theta-0.5,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,4,3,640,1,0.0008,0.5,0.5,,,0,189.911540
theta-1.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,4,1,640,1,0.0008,0.5,1.0,,,0,191.759640
theta-1.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,4,2,640,1,0.0008,0.5,1.0,,,0,193.383685
theta-1.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,4,3,640,1,0.0008,0.5,1.0,,,0,191.269258
newmark-0.00,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,4,1,640,1,0.0008,0.5,,0.0,0.5,0,39.377441
newmark-0.00,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,4,2,640,1,0.0008,0.5,,0.0,0.5,0,39.427494
newmark-0.00,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,4,3,640,1,0.0008,0.5,,0.0,0.5,0,39.527500
newmark-0.25,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,4,1,640,1,0.0008,0.5,,0.25,0.5,0,87.296050
newmark-0.25,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,4,2,640,1,0.0008,0.5,,0.25,0.5,0,85.519876
newmark-0.25,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,4,3,640,1,0.0008,0.5,,0.25,0.5,0,85.434143
theta-0.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,8,1,640,1,0.0008,0.5,0.0,,,0,57.523319
theta-0.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,8,2,640,1,0.0008,0.5,0.0,,,0,57.076062
theta-0.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,8,3,640,1,0.0008,0.5,0.0,,,0,57.830417
theta-0.5,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,8,1,640,1,0.0008,0.5,0.5,,,0,103.241775
theta-0.5,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,8,2,640,1,0.0008,0.5,0.5,,,0,103.172841
theta-0.5,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,8,3,640,1,0.0008,0.5,0.5,,,0,104.048319
theta-1.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,8,1,640,1,0.0008,0.5,1.0,,,0,108.096780
theta-1.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,8,2,640,1,0.0008,0.5,1.0,,,0,108.746652
theta-1.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,8,3,640,1,0.0008,0.5,1.0,,,0,105.712200
newmark-0.00,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,8,1,640,1,0.0008,0.5,,0.0,0.5,0,23.543015
newmark-0.00,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,8,2,640,1,0.0008,0.5,,0.0,0.5,0,23.462558
newmark-0.00,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,8,3,640,1,0.0008,0.5,,0.0,0.5,0,23.657814
newmark-0.25,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,8,1,640,1,0.0008,0.5,,0.25,0.5,0,48.725430
newmark-0.25,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,8,2,640,1,0.0008,0.5,,0.25,0.5,0,48.467483
newmark-0.25,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,8,3,640,1,0.0008,0.5,,0.25,0.5,0,48.555199
theta-0.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,16,1,640,1,0.0008,0.5,0.0,,,0,32.331166
theta-0.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,16,2,640,1,0.0008,0.5,0.0,,,0,33.575827
theta-0.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,16,3,640,1,0.0008,0.5,0.0,,,0,31.978037
theta-0.5,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,16,1,640,1,0.0008,0.5,0.5,,,0,57.699713
theta-0.5,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,16,2,640,1,0.0008,0.5,0.5,,,0,56.492446
theta-0.5,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,16,3,640,1,0.0008,0.5,0.5,,,0,56.523736
theta-1.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,16,1,640,1,0.0008,0.5,1.0,,,0,58.037594
theta-1.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,16,2,640,1,0.0008,0.5,1.0,,,0,58.508616
theta-1.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,16,3,640,1,0.0008,0.5,1.0,,,0,58.904414
newmark-0.00,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,16,1,640,1,0.0008,0.5,,0.0,0.5,0,13.989283
newmark-0.00,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,16,2,640,1,0.0008,0.5,,0.0,0.5,0,14.010148
newmark-0.00,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,16,3,640,1,0.0008,0.5,,0.0,0.5,0,14.096969
newmark-0.25,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,16,1,640,1,0.0008,0.5,,0.25,0.5,0,28.265660
newmark-0.25,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,16,2,640,1,0.0008,0.5,,0.25,0.5,0,28.154349
newmark-0.25,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,16,3,640,1,0.0008,0.5,,0.25,0.5,0,27.697326
theta-0.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,32,1,640,1,0.0008,0.5,0.0,,,0,23.188656
theta-0.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,32,2,640,1,0.0008,0.5,0.0,,,0,22.997973
theta-0.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,32,3,640,1,0.0008,0.5,0.0,,,0,22.769780
theta-0.5,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,32,1,640,1,0.0008,0.5,0.5,,,0,38.591536
theta-0.5,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,32,2,640,1,0.0008,0.5,0.5,,,0,39.729150
theta-0.5,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,32,3,640,1,0.0008,0.5,0.5,,,0,38.643248
theta-1.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,32,1,640,1,0.0008,0.5,1.0,,,0,41.217650
theta-1.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,32,2,640,1,0.0008,0.5,1.0,,,0,40.040474
theta-1.0,/scratch_local/nmpde-wave-equation_9687.login01/build/main-theta,32,3,640,1,0.0008,0.5,1.0,,,0,39.833297
newmark-0.00,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,32,1,640,1,0.0008,0.5,,0.0,0.5,0,11.269489
newmark-0.00,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,32,2,640,1,0.0008,0.5,,0.0,0.5,0,11.299859
newmark-0.00,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,32,3,640,1,0.0008,0.5,,0.0,0.5,0,11.624219
newmark-0.25,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,32,1,640,1,0.0008,0.5,,0.25,0.5,0,20.176289
newmark-0.25,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,32,2,640,1,0.0008,0.5,,0.25,0.5,0,20.195942
newmark-0.25,/scratch_local/nmpde-wave-equation_9687.login01/build/main-newmark,32,3,640,1,0.0008,0.5,,0.25,0.5,0,20.352337
theta-0.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,1,1,640,1,0.0008,0.5,0.0,,,0,361.069438
theta-0.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,1,2,640,1,0.0008,0.5,0.0,,,0,358.756764
theta-0.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,1,3,640,1,0.0008,0.5,0.0,,,0,364.459258
theta-0.5,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,1,1,640,1,0.0008,0.5,0.5,,,0,647.275795
theta-0.5,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,1,2,640,1,0.0008,0.5,0.5,,,0,644.457261
theta-0.5,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,1,3,640,1,0.0008,0.5,0.5,,,0,651.749237
theta-1.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,1,1,640,1,0.0008,0.5,1.0,,,0,660.290833
theta-1.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,1,2,640,1,0.0008,0.5,1.0,,,0,660.807938
theta-1.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,1,3,640,1,0.0008,0.5,1.0,,,0,660.591832
newmark-0.00,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,1,1,640,1,0.0008,0.5,,0.0,0.5,0,139.252972
newmark-0.00,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,1,2,640,1,0.0008,0.5,,0.0,0.5,0,139.559658
newmark-0.00,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,1,3,640,1,0.0008,0.5,,0.0,0.5,0,138.483408
newmark-0.25,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,1,1,640,1,0.0008,0.5,,0.25,0.5,0,284.998451
newmark-0.25,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,1,2,640,1,0.0008,0.5,,0.25,0.5,0,286.846958
newmark-0.25,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,1,3,640,1,0.0008,0.5,,0.25,0.5,0,284.827660
theta-0.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,2,1,640,1,0.0008,0.5,0.0,,,0,197.126530
theta-0.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,2,2,640,1,0.0008,0.5,0.0,,,0,195.672804
theta-0.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,2,3,640,1,0.0008,0.5,0.0,,,0,194.231986
theta-0.5,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,2,1,640,1,0.0008,0.5,0.5,,,0,358.611615
theta-0.5,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,2,2,640,1,0.0008,0.5,0.5,,,0,358.443613
theta-0.5,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,2,3,640,1,0.0008,0.5,0.5,,,0,362.426061
theta-1.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,2,1,640,1,0.0008,0.5,1.0,,,0,367.902042
theta-1.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,2,2,640,1,0.0008,0.5,1.0,,,0,366.755104
theta-1.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,2,3,640,1,0.0008,0.5,1.0,,,0,367.011366
newmark-0.00,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,2,1,640,1,0.0008,0.5,,0.0,0.5,0,73.274548
newmark-0.00,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,2,2,640,1,0.0008,0.5,,0.0,0.5,0,74.073082
newmark-0.00,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,2,3,640,1,0.0008,0.5,,0.0,0.5,0,74.236626
newmark-0.25,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,2,1,640,1,0.0008,0.5,,0.25,0.5,0,162.535800
newmark-0.25,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,2,2,640,1,0.0008,0.5,,0.25,0.5,0,162.492708
newmark-0.25,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,2,3,640,1,0.0008,0.5,,0.25,0.5,0,161.186305
theta-0.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,4,1,640,1,0.0008,0.5,0.0,,,0,101.311064
theta-0.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,4,2,640,1,0.0008,0.5,0.0,,,0,102.481472
theta-0.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,4,3,640,1,0.0008,0.5,0.0,,,0,101.963981
theta-0.5,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,4,1,640,1,0.0008,0.5,0.5,,,0,186.978993
