scheme,binary,nprocs,repeat,Nel,R,Dt,T,Theta,Beta,Gamma,returncode,seconds
theta-0.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,1,1,640,1,0.00008,0.05,0.0,,,0,678.805281
theta-0.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,1,2,640,1,0.00008,0.05,0.0,,,0,668.512552
theta-0.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,1,3,640,1,0.00008,0.05,0.0,,,0,668.623502
theta-0.5,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,1,1,640,1,0.00008,0.05,0.5,,,0,624.867294
theta-0.5,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,1,2,640,1,0.00008,0.05,0.5,,,0,626.598748
theta-0.5,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,1,3,640,1,0.00008,0.05,0.5,,,0,626.692289
theta-1.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,1,1,640,1,0.00008,0.05,1.0,,,0,631.760347
theta-1.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,1,2,640,1,0.00008,0.05,1.0,,,0,624.894493
theta-1.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,1,3,640,1,0.00008,0.05,1.0,,,0,626.953708
newmark-0.00,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,1,1,640,1,0.00008,0.05,,0.0,0.5,0,330.469286
newmark-0.00,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,1,2,640,1,0.00008,0.05,,0.0,0.5,0,330.152071
newmark-0.00,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,1,3,640,1,0.00008,0.05,,0.0,0.5,0,331.615032
newmark-0.25,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,1,1,640,1,0.00008,0.05,,0.25,0.5,0,296.294962
newmark-0.25,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,1,2,640,1,0.00008,0.05,,0.25,0.5,0,297.756652
newmark-0.25,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,1,3,640,1,0.00008,0.05,,0.25,0.5,0,297.582635
theta-0.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,2,1,640,1,0.00008,0.05,0.0,,,0,366.889762
theta-0.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,2,2,640,1,0.00008,0.05,0.0,,,0,367.548754
theta-0.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,2,3,640,1,0.00008,0.05,0.0,,,0,367.194303
theta-0.5,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,2,1,640,1,0.00008,0.05,0.5,,,0,345.374482
theta-0.5,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,2,2,640,1,0.00008,0.05,0.5,,,0,346.794077
theta-0.5,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,2,3,640,1,0.00008,0.05,0.5,,,0,345.218573
theta-1.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,2,1,640,1,0.00008,0.05,1.0,,,0,345.098137
theta-1.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,2,2,640,1,0.00008,0.05,1.0,,,0,347.691530
theta-1.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,2,3,640,1,0.00008,0.05,1.0,,,0,348.231884
newmark-0.00,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,2,1,640,1,0.00008,0.05,,0.0,0.5,0,182.470525
newmark-0.00,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,2,2,640,1,0.00008,0.05,,0.0,0.5,0,182.962889
newmark-0.00,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,2,3,640,1,0.00008,0.05,,0.0,0.5,0,182.235630
newmark-0.25,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,2,1,640,1,0.00008,0.05,,0.25,0.5,0,160.068621
newmark-0.25,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,2,2,640,1,0.00008,0.05,,0.25,0.5,0,160.461281
newmark-0.25,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,2,3,640,1,0.00008,0.05,,0.25,0.5,0,160.575956
theta-0.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,4,1,640,1,0.00008,0.05,0.0,,,0,191.338309
theta-0.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,4,2,640,1,0.00008,0.05,0.0,,,0,192.025772
theta-0.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,4,3,640,1,0.00008,0.05,0.0,,,0,191.078585
theta-0.5,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,4,1,640,1,0.00008,0.05,0.5,,,0,181.601330
theta-0.5,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,4,2,640,1,0.00008,0.05,0.5,,,0,180.020205
theta-0.5,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,4,3,640,1,0.00008,0.05,0.5,,,0,180.958804
theta-1.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,4,1,640,1,0.00008,0.05,1.0,,,0,180.035240
theta-1.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,4,2,640,1,0.00008,0.05,1.0,,,0,180.089407
theta-1.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,4,3,640,1,0.00008,0.05,1.0,,,0,181.638537
newmark-0.00,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,4,1,640,1,0.00008,0.05,,0.0,0.5,0,96.764311
newmark-0.00,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,4,2,640,1,0.00008,0.05,,0.0,0.5,0,98.030879
newmark-0.00,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,4,3,640,1,0.00008,0.05,,0.0,0.5,0,96.507990
newmark-0.25,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,4,1,640,1,0.00008,0.05,,0.25,0.5,0,84.825076
newmark-0.25,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,4,2,640,1,0.00008,0.05,,0.25,0.5,0,85.063319
newmark-0.25,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,4,3,640,1,0.00008,0.05,,0.25,0.5,0,85.251568
theta-0.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,8,1,640,1,0.00008,0.05,0.0,,,0,105.271259
theta-0.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,8,2,640,1,0.00008,0.05,0.0,,,0,105.055142
theta-0.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,8,3,640,1,0.00008,0.05,0.0,,,0,110.014390
theta-0.5,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,8,1,640,1,0.00008,0.05,0.5,,,0,99.537263
theta-0.5,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,8,2,640,1,0.00008,0.05,0.5,,,0,99.435810
theta-0.5,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,8,3,640,1,0.00008,0.05,0.5,,,0,103.239576
theta-1.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,8,1,640,1,0.00008,0.05,1.0,,,0,102.111526
theta-1.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,8,2,640,1,0.00008,0.05,1.0,,,0,99.984887
theta-1.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,8,3,640,1,0.00008,0.05,1.0,,,0,100.610494
newmark-0.00,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,8,1,640,1,0.00008,0.05,,0.0,0.5,0,54.832021
newmark-0.00,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,8,2,640,1,0.00008,0.05,,0.0,0.5,0,54.765223
newmark-0.00,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,8,3,640,1,0.00008,0.05,,0.0,0.5,0,54.628507
newmark-0.25,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,8,1,640,1,0.00008,0.05,,0.25,0.5,0,48.002729
newmark-0.25,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,8,2,640,1,0.00008,0.05,,0.25,0.5,0,48.431173
newmark-0.25,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,8,3,640,1,0.00008,0.05,,0.25,0.5,0,48.371821
theta-0.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,16,1,640,1,0.00008,0.05,0.0,,,0,58.022098
theta-0.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,16,2,640,1,0.00008,0.05,0.0,,,0,58.330251
