"N","Time","avg(X)","avg(Y)","avg(Z)","avg(partitioning)","avg(u)","avg(v)","avg(vtkOriginalPointIds)","max(X)","max(Y)","max(Z)","max(partitioning)","max(u)","max(v)","max(vtkOriginalPointIds)","med(X)","med(Y)","med(Z)","med(partitioning)","med(u)","med(v)","med(vtkOriginalPointIds)","min(X)","min(Y)","min(Z)","min(partitioning)","min(u)","min(v)","min(vtkOriginalPointIds)","q1(X)","q1(Y)","q1(Z)","q1(partitioning)","q1(u)","q1(v)","q1(vtkOriginalPointIds)","q3(X)","q3(Y)","q3(Z)","q3(partitioning)","q3(u)","q3(v)","q3(vtkOriginalPointIds)","std(X)","std(Y)","std(Z)","std(partitioning)","std(u)","std(v)","std(vtkOriginalPointIds)","sum(X)","sum(Y)","sum(Z)","sum(partitioning)","sum(u)","sum(v)","sum(vtkOriginalPointIds)","vtkValidPointMask"
1,0,0.2,0.2,0,0,0.95033,0,627,0.2,0.2,0,0,0.95033,0,627,0.2,0.2,0,0,0.95033,0,627,0.2,0.2,0,0,0.95033,0,627,0.2,0.2,0,0,0.95033,0,627,0.2,0.2,0,0,0.95033,0,627,0,0,0,0,0,0,0,0.2,0.2,0,0,0.95033,0,627,1
1,1,0.2,0.2,0,0,0.95018,-0.085564,627,0.2,0.2,0,0,0.95018,-0.085564,627,0.2,0.2,0,0,0.95018,-0.085564,627,0.2,0.2,0,0,0.95018,-0.085564,627,0.2,0.2,0,0,0.95018,-0.085564,627,0.2,0.2,0,0,0.95018,-0.085564,627,0,0,0,0,0,0,0,0.2,0.2,0,0,0.95018,-0.085564,627,1
1,2,0.2,0.2,0,0,0.94958,-0.25564,627,0.2,0.2,0,0,0.94958,-0.25564,627,0.2,0.2,0,0,0.94958,-0.25564,627,0.2,0.2,0,0,0.94958,-0.25564,627,0.2,0.2,0,0,0.94958,-0.25564,627,0.2,0.2,0,0,0.94958,-0.25564,627,0,0,0,0,0,0,0,0.2,0.2,0,0,0.94958,-0.25564,627,1
1,3,0.2,0.2,0,0,0.94839,-0.42288,627,0.2,0.2,0,0,0.94839,-0.42288,627,0.2,0.2,0,0,0.94839,-0.42288,627,0.2,0.2,0,0,0.94839,-0.42288,627,0.2,0.2,0,0,0.94839,-0.42288,627,0.2,0.2,0,0,0.94839,-0.42288,627,0,0,0,0,0,0,0,0.2,0.2,0,0,0.94839,-0.42288,627,1
1,4,0.2,0.2,0,0,0.94663,-0.58605,627,0.2,0.2,0,0,0.94663,-0.58605,627,0.2,0.2,0,0,0.94663,-0.58605,627,0.2,0.2,0,0,0.94663,-0.58605,627,0.2,0.2,0,0,0.94663,-0.58605,627,0.2,0.2,0,0,0.94663,-0.58605,627,0,0,0,0,0,0,0,0.2,0.2,0,0,0.94663,-0.58605,627,1
1,5,0.2,0.2,0,0,0.9443,-0.74462,627,0.2,0.2,0,0,0.9443,-0.74462,627,0.2,0.2,0,0,0.9443,-0.74462,627,0.2,0.2,0,0,0.9443,-0.74462,627,0.2,0.2,0,0,0.9443,-0.74462,627,0.2,0.2,0,0,0.9443,-0.74462,627,0,0,0,0,0,0,0,0.2,0.2,0,0,0.9443,-0.74462,627,1
1,6,0.2,0.2,0,0,0.94142,-0.89899,627,0.2,0.2,0,0,0.94142,-0.89899,627,0.2,0.2,0,0,0.94142,-0.89899,627,0.2,0.2,0,0,0.94142,-0.89899,627,0.2,0.2,0,0,0.94142,-0.89899,627,0.2,0.2,0,0,0.94142,-0.89899,627,0,0,0,0,0,0,0,0.2,0.2,0,0,0.94142,-0.89899,627,1
1,7,0.2,0.2,0,0,0.93801,-1.0505,627,0.2,0.2,0,0,0.93801,-1.0505,627,0.2,0.2,0,0,0.93801,-1.0505,627,0.2,0.2,0,0,0.93801,-1.0505,627,0.2,0.2,0,0,0.93801,-1.0505,627,0.2,0.2,0,0,0.93801,-1.0505,627,0,0,0,0,0,0,0,0.2,0.2,0,0,0.93801,-1.0505,627,1
1,8,0.2,0.2,0,0,0.93407,-1.2012,627,0.2,0.2,0,0,0.93407,-1.2012,627,0.2,0.2,0,0,0.93407,-1.2012,627,0.2,0.2,0,0,0.93407,-1.2012,627,0.2,0.2,0,0,0.93407,-1.2012,627,0.2,0.2,0,0,0.93407,-1.2012,627,0,0,0,0,0,0,0,0.2,0.2,0,0,0.93407,-1.2012,627,1
1,9,0.2,0.2,0,0,0.9296,-1.3539,627,0.2,0.2,0,0,0.9296,-1.3539,627,0.2,0.2,0,0,0.9296,-1.3539,627,0.2,0.2,0,0,0.9296,-1.3539,627,0.2,0.2,0,0,0.9296,-1.3539,627,0.2,0.2,0,0,0.9296,-1.3539,627,0,0,0,0,0,0,0,0.2,0.2,0,0,0.9296,-1.3539,627,1
1,10,0.2,0.2,0,0,0.92459,-1.5114,627,0.2,0.2,0,0,0.92459,-1.5114,627,0.2,0.2,0,0,0.92459,-1.5114,627,0.2,0.2,0,0,0.92459,-1.5114,627,0.2,0.2,0,0,0.92459,-1.5114,627,0.2,0.2,0,0,0.92459,-1.5114,627,0,0,0,0,0,0,0,0.2,0.2,0,0,0.92459,-1.5114,627,1
