scheme,Nel,R,dt,T,returncode,elapsed_s,cfl_limit,energy_ratio,energy_decay_rate,max_rel_L2,final_rel_L2,final_rel_H1
theta-0.0,80,1,0.005,5.0,0,8.341,0.00795495,5.988372564112951e+254,-3.118944043808829e+254,,nan,nan
theta-0.0,80,1,0.002,5.0,0,23.440,0.00795495,8.618478648552251e+254,-3.4779978404165656e+254,,nan,nan
theta-0.0,80,1,0.001,5.0,0,74.901,0.00795495,1.0659430188113314e+255,-2.5916436149071996e+254,,nan,nan
theta-0.0,80,1,0.0005,5.0,0,179.477,0.00795495,2.484439220137003e+158,-4.9683816021137956e+157,,nan,nan
theta-0.0,80,1,0.0002,5.0,0,445.709,0.00795495,3.812353825762336e+55,-7.624707651524672e+54,,5.11681e+25,4.557891e+27
theta-0.5,80,1,0.1,5.0,0,2.423,inf,1.0,0.0,,0.2124633,0.2137291
theta-0.5,80,1,0.05,5.0,0,3.326,inf,1.0,0.0,,0.03755761,0.04249278
theta-0.5,80,1,0.02,5.0,0,5.934,inf,1.0,0.0,,0.003045202,0.01945455
theta-0.5,80,1,0.01,5.0,0,10.296,inf,1.0,0.0,,0.000504945,0.01915505
theta-0.5,80,1,0.005,5.0,0,18.924,inf,1.0,0.0,,0.001138595,0.01916926
theta-0.5,80,1,0.002,5.0,0,45.659,inf,1.0,0.0,,0.001271652,0.01917502
theta-0.5,80,1,0.001,5.0,0,89.749,inf,1.0,0.0,,0.001258283,0.0191744
theta-0.5,80,1,0.0005,5.0,0,179.226,inf,1.0,0.0,,0.001274318,0.01917515
theta-0.5,80,1,0.0002,5.0,0,435.285,inf,1.0,0.0,,0.001266215,0.01917477
theta-1.0,80,1,0.1,5.0,0,2.423,inf,0.00012212401407596165,0.19605448548743612,,0.9898813,0.9898813
theta-1.0,80,1,0.05,5.0,0,3.325,inf,0.008077132478668833,0.1964203698062042,,0.9032087,0.9032105
theta-1.0,80,1,0.02,5.0,0,5.984,inf,0.1398864263098764,0.17133736527691706,,0.6215908,0.6216331
theta-1.0,80,1,0.01,5.0,0,10.249,inf,0.37292930769793114,0.1251638108387363,,0.3883817,0.3885584
theta-1.0,80,1,0.005,5.0,0,19.126,inf,0.6104539168731523,0.0778313852401294,,0.2191996,0.2197093
theta-1.0,80,1,0.002,5.0,0,44.906,inf,0.8208108184799484,0.035823506901249816,,0.09507993,0.09664729
theta-1.0,80,1,0.001,5.0,0,88.391,inf,0.9060007134055387,0.018799857318892273,,0.0493148,0.05257016
theta-1.0,80,1,0.0005,5.0,0,176.471,inf,0.9518335515408967,0.009632326459174743,,0.02559451,0.03167823
theta-1.0,80,1,0.0002,5.0,0,431.968,inf,0.9804465197723623,0.003910696045527529,,0.01105261,0.02193333
newmark-0.00,80,1,0.005,5.0,0,15.312,0.00795495,2.5920764628629794e+256,-5.965653539385454e+255,,nan,nan
newmark-0.00,80,1,0.002,5.0,0,40.743,0.00795495,1.0,0.0,,0.001323318,0.0191775
newmark-0.00,80,1,0.001,5.0,0,81.019,0.00795495,1.0,0.0,,0.001270678,0.01917498
newmark-0.00,80,1,0.0005,5.0,0,158.562,0.00795495,1.0,0.0,,0.001277449,0.01917529
newmark-0.00,80,1,0.0002,5.0,0,395.483,0.00795495,1.0,0.0,,0.00126671,0.01917479
newmark-0.25,80,1,0.1,5.0,0,2.273,inf,1.0,0.0,,0.2124633,0.2137291
newmark-0.25,80,1,0.05,5.0,0,3.076,inf,1.0,0.0,,0.03755761,0.04249278
newmark-0.25,80,1,0.02,5.0,0,5.383,inf,1.0,0.0,,0.003045202,0.01945455
newmark-0.25,80,1,0.01,5.0,0,9.294,inf,1.0,0.0,,0.0005049435,0.01915505
newmark-0.25,80,1,0.005,5.0,0,16.813,inf,1.0,0.0,,0.001138594,0.01916926
newmark-0.25,80,1,0.002,5.0,0,40.138,inf,1.0,0.0,,0.001271651,0.01917502
newmark-0.25,80,1,0.001,5.0,0,78.205,inf,1.0,0.0,,0.001258282,0.0191744
newmark-0.25,80,1,0.0005,5.0,0,157.785,inf,1.0,0.0,,0.001274317,0.01917515
newmark-0.25,80,1,0.0002,5.0,0,387.983,inf,1.0,0.0,,0.001266214,0.01917477
