scheme,binary,nprocs,repeat,Nel,R,Dt,T,Theta,Beta,Gamma,returncode,seconds
theta-0.0,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,1,1,640,1,0.0008,0.5,0.0,,,0,371.126232
theta-0.0,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,1,2,640,1,0.0008,0.5,0.0,,,0,375.513761
theta-0.0,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,1,3,640,1,0.0008,0.5,0.0,,,0,370.098872
theta-0.5,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,1,1,640,1,0.0008,0.5,0.5,,,0,743.704480
theta-0.5,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,1,2,640,1,0.0008,0.5,0.5,,,0,745.988315
theta-0.5,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,1,3,640,1,0.0008,0.5,0.5,,,0,748.878375
theta-1.0,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,1,1,640,1,0.0008,0.5,1.0,,,0,764.975078
theta-1.0,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,1,2,640,1,0.0008,0.5,1.0,,,0,765.639179
theta-1.0,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,1,3,640,1,0.0008,0.5,1.0,,,0,776.439094
newmark-0.00,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,1,1,640,1,0.0008,0.5,,0.0,0.5,0,133.776495
newmark-0.00,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,1,2,640,1,0.0008,0.5,,0.0,0.5,0,134.000859
newmark-0.00,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,1,3,640,1,0.0008,0.5,,0.0,0.5,0,134.899477
newmark-0.25,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,1,1,640,1,0.0008,0.5,,0.25,0.5,0,391.125214
newmark-0.25,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,1,2,640,1,0.0008,0.5,,0.25,0.5,0,398.372931
newmark-0.25,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,1,3,640,1,0.0008,0.5,,0.25,0.5,0,392.961662
theta-0.0,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,2,1,640,1,0.0008,0.5,0.0,,,0,231.375889
theta-0.0,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,2,2,640,1,0.0008,0.5,0.0,,,0,230.773100
theta-0.0,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,2,3,640,1,0.0008,0.5,0.0,,,0,234.522264
theta-0.5,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,2,1,640,1,0.0008,0.5,0.5,,,0,431.699832
