scheme,binary,nprocs,Nel,R,Dt,T,Theta,Beta,Gamma,returncode,seconds
theta,../build/main-theta,1,320,1,0.005,5.0,0.5,,,0,538.005330
theta,../build/main-theta,2,320,1,0.005,5.0,0.5,,,0,354.517855
theta,../build/main-theta,4,320,1,0.005,5.0,0.5,,,0,157.638739
theta,../build/main-theta,8,320,1,0.005,5.0,0.5,,,0,111.475864
theta,../build/main-theta,16,320,1,0.005,5.0,0.5,,,0,85.615750
theta,../build/main-theta,24,320,1,0.005,5.0,0.5,,,0,119.442414
newmark,../build/main-newmark,1,320,1,0.005,5.0,,0.25,0.5,0,488.644403
newmark,../build/main-newmark,2,320,1,0.005,5.0,,0.25,0.5,0,322.059197
newmark,../build/main-newmark,4,320,1,0.005,5.0,,0.25,0.5,0,125.885213
newmark,../build/main-newmark,8,320,1,0.005,5.0,,0.25,0.5,0,96.688272
newmark,../build/main-newmark,16,320,1,0.005,5.0,,0.25,0.5,0,76.307084
newmark,../build/main-newmark,24,320,1,0.005,5.0,,0.25,0.5,0,106.310710
