timestep,time,energy
10,0.035,0.0986469
20,0.07,0.0982569
30,0.105,0.0972769
40,0.14,0.0955193
50,0.175,0.0928844
60,0.21,0.0893666
70,0.245,0.0850505
80,0.28,0.0800989
90,0.315,0.0747338
100,0.35,0.0692128
110,0.385,0.0638022
120,0.42,0.058752
130,0.455,0.0542722
140,0.49,0.050515
150,0.525,0.0475626
160,0.56,0.0454232
170,0.595,0.0440336
180,0.63,0.0432687
190,0.665,0.0429568
200,0.7,0.0428981
210,0.735,0.0428854
220,0.77,0.0427241
230,0.805,0.0422501
240,0.84,0.041344
250,0.875,0.0399393
260,0.91,0.0380263
270,0.945,0.0356482
280,0.98,0.0328941
290,1.015,0.0298957
300,1.05,0.0267955
310,1.085,0.0237453
320,1.12,0.0208864
330,1.155,0.0183373
340,1.19,0.0161838
350,1.225,0.014473
360,1.26,0.0132114
370,1.295,0.0123673
380,1.33,0.0118765
390,1.365,0.0116515
400,1.4,0.0115916
410,1.435,0.0115941
420,1.47,0.0115642
430,1.505,0.0114237
440,1.54,0.0111172
450,1.575,0.0106156
460,1.61,0.00991599
470,1.645,0.00903925
480,1.68,0.00802553
490,1.715,0.00692771
500,1.75,0.00580439
510,1.785,0.00471306
520,1.82,0.00370396
530,1.855,0.00281564
540,1.89,0.00207206
550,1.925,0.0014813
560,1.96,0.00104098
570,1.995,0.000735405
580,2.03,0.000541985
590,2.065,0.000435604
600,2.1,0.000392615
610,2.135,0.000394396
620,2.17,0.000429456
630,2.205,0.000494175
640,2.24,0.000592379
650,2.275,0.0007332
660,2.31,0.000928312
670,2.345,0.00118866
680,2.38,0.00152097
690,2.415,0.00192519
700,2.45,0.00239276
710,2.485,0.00290624
720,2.52,0.00344049
730,2.555,0.00396513
740,2.59,0.00444833
750,2.625,0.00486109
760,2.66,0.0051816
770,2.695,0.00539936
780,2.73,0.00551812
790,2.765,0.00555739
800,2.8,0.00555205
810,2.835,0.00554978
820,2.87,0.00560613
830,2.905,0.00578314
840,2.94,0.00613712
850,2.975,0.00671455
