timestep,time,L2_error,H1_error,rel_L2_error,rel_H1_error
10,0.035,4.738785e-04,6.728242e-03,4.813478e-03,1.500713e-02
20,7.000000e-02,1.025362e-03,7.834883e-03,1.084595e-02,1.819814e-02
30,1.050000e-01,1.695428e-03,9.843217e-03,1.918301e-02,2.445560e-02
40,1.400000e-01,2.528108e-03,1.293339e-02,3.154559e-02,3.543718e-02
50,1.750000e-01,3.558386e-03,1.715492e-02,5.081208e-02,5.379060e-02
60,2.100000e-01,4.809904e-03,2.255131e-02,8.249577e-02,8.493191e-02
70,2.450000e-01,6.293242e-03,2.910930e-02,1.390514e-01,1.412331e-01
80,2.800000e-01,8.004726e-03,3.677705e-02,2.564464e-01,2.587206e-01
90,3.150000e-01,9.925810e-03,4.544454e-02,6.009586e-01,6.041771e-01
100,3.500000e-01,1.202303e-02,5.494381e-02,7.887231e+00,7.914678e+00
110,3.850000e-01,1.424859e-02,6.504674e-02,1.063328e+00,1.065921e+00
120,4.200000e-01,1.654149e-02,7.546881e-02,5.929306e-01,5.940196e-01
130,4.550000e-01,1.882925e-02,8.587581e-02,4.523723e-01,4.530412e-01
140,4.900000e-01,2.103018e-02,9.590344e-02,3.876412e-01,3.881727e-01
150,5.250000e-01,2.305601e-02,1.051077e-01,3.520721e-01,3.524406e-01
160,5.600000e-01,2.481491e-02,1.131183e-01,3.305675e-01,3.308904e-01
170,5.950000e-01,2.621484e-02,1.194991e-01,3.166975e-01,3.170048e-01
180,6.300000e-01,2.716701e-02,1.238380e-01,3.071858e-01,3.074802e-01
190,6.650000e-01,2.758937e-02,1.257568e-01,3.001005e-01,3.003726e-01
200,7.000000e-01,2.741002e-02,1.249468e-01,2.941213e-01,2.944057e-01
210,7.350000e-01,2.657049e-02,1.211235e-01,2.881799e-01,2.884672e-01
220,7.700000e-01,2.502864e-02,1.141107e-01,2.812277e-01,2.815471e-01
230,8.050000e-01,2.276118e-02,1.037897e-01,2.720170e-01,2.723701e-01
240,8.400000e-01,1.976570e-02,9.016598e-02,2.587901e-01,2.592281e-01
250,8.750000e-01,1.606203e-02,7.332494e-02,2.386903e-01,2.392709e-01
260,9.100000e-01,1.169306e-02,5.348071e-02,2.064026e-01,2.072946e-01
270,9.450000e-01,6.724741e-03,3.104015e-02,1.503668e-01,1.524067e-01
280,9.800000e-01,1.245776e-03,7.387594e-03,3.917531e-02,5.101285e-02
290,1.015000e+00,4.636081e-03,2.145554e-02,2.546903e-01,2.588241e-01
300,1.050000e+00,1.079100e-02,4.929580e-02,2.531605e+00,2.539499e+00
310,1.085000e+00,1.707564e-02,7.786006e-02,1.763447e+00,1.765648e+00
320,1.120000e+00,2.333336e-02,1.063283e-01,1.001497e+00,1.002133e+00
330,1.155000e+00,2.939896e-02,1.339340e-01,8.108199e-01,8.111242e-01
340,1.190000e+00,3.510305e-02,1.599025e-01,7.274433e-01,7.276346e-01
350,1.225000e+00,4.027676e-02,1.834617e-01,6.825672e-01,6.827163e-01
360,1.260000e+00,4.475659e-02,2.038599e-01,6.556261e-01,6.557452e-01
370,1.295000e+00,4.838937e-02,2.203994e-01,6.382471e-01,6.383418e-01
380,1.330000e+00,5.103708e-02,2.324581e-01,6.262995e-01,6.263901e-01
390,1.365000e+00,5.258142e-02,2.394896e-01,6.174171e-01,6.175000e-01
400,1.400000e+00,5.292803e-02,2.410692e-01,6.100332e-01,6.101174e-01
410,1.435000e+00,5.201010e-02,2.368781e-01,6.029254e-01,6.029824e-01
420,1.470000e+00,4.979147e-02,2.267872e-01,5.949421e-01,5.950346e-01
430,1.505000e+00,4.626888e-02,2.107456e-01,5.847639e-01,5.848627e-01
440,1.540000e+00,4.147335e-02,1.889132e-01,5.705908e-01,5.707184e-01
450,1.575000e+00,3.547081e-02,1.615815e-01,5.495775e-01,5.497350e-01
460,1.610000e+00,2.836161e-02,1.292174e-01,5.165773e-01,5.168081e-01
470,1.645000e+00,2.027915e-02,9.242805e-02,4.607832e-01,4.611631e-01
480,1.680000e+00,1.138757e-02,5.199407e-02,3.543715e-01,3.552921e-01
490,1.715000e+00,1.878587e-03,9.341886e-03,9.600003e-02,1.048283e-01
500,1.750000e+00,8.033641e-03,3.676752e-02,1.213633e+00,1.219672e+00
510,1.785000e+00,1.811495e-02,8.257549e-02,2.831106e+00,2.833832e+00
520,1.820000e+00,2.811954e-02,1.281080e-01,1.466711e+00,1.467292e+00
530,1.855000e+00,3.779441e-02,1.721548e-01,1.203845e+00,1.204110e+00
540,1.890000e+00,4.688624e-02,2.135493e-01,1.096061e+00,1.096204e+00
550,1.925000e+00,5.514795e-02,2.511698e-01,1.039532e+00,1.039632e+00
560,1.960000e+00,6.234550e-02,2.839381e-01,1.005955e+00,1.006007e+00
570,1.995000e+00,6.826426e-02,3.108919e-01,9.843632e-01,9.844084e-01
580,2.030000e+00,7.271542e-02,3.311638e-01,9.695264e-01,9.695715e-01
590,2.065000e+00,7.554152e-02,3.440322e-01,9.585348e-01,9.585729e-01
600,2.100000e+00,7.662152e-02,3.489496e-01,9.495196e-01,9.495541e-01
610,2.135000e+00,7.587509e-02,3.455510e-01,9.410738e-01,9.411102e-01
620,2.170000e+00,7.326577e-02,3.336684e-01,9.319240e-01,9.319624e-01
630,2.205000e+00,6.880322e-02,3.133467e-01,9.206673e-01,9.207104e-01
640,2.240000e+00,6.254424e-02,2.848438e-01,9.054523e-01,9.055011e-01
650,2.275000e+00,5.459263e-02,2.486345e-01,8.834344e-01,8.834980e-01
660,2.310000e+00,4.509775e-02,2.053990e-01,8.496081e-01,8.497006e-01
670,2.345000e+00,3.425196e-02,1.560141e-01,7.938052e-01,7.939558e-01
680,2.380000e+00,2.228681e-02,1.015375e-01,6.910931e-01,6.913838e-01
690,2.415000e+00,9.468110e-03,4.320613e-02,4.585411e-01,4.594775e-01
700,2.450000e+00,3.910248e-03,1.807632e-02,4.529861e-01,4.598272e-01
710,2.485000e+00,1.753192e-02,7.990354e-02,4.997860e+00,5.001778e+00
720,2.520000e+00,3.106757e-02,1.415160e-01,2.007098e+00,2.007571e+00
730,2.555000e+00,4.418123e-02,2.012251e-01,1.636712e+00,1.636894e+00
740,2.590000e+00,5.653944e-02,2.575010e-01,1.496578e+00,1.496686e+00
750,2.625000e+00,6.781960e-02,3.088684e-01,1.425374e+00,1.425447e+00
760,2.660000e+00,7.771837e-02,3.539463e-01,1.383674e+00,1.383730e+00
770,2.695000e+00,8.595986e-02,3.914768e-01,1.357016e+00,1.357061e+00
780,2.730000e+00,9.230315e-02,4.203632e-01,1.338750e+00,1.338787e+00
790,2.765000e+00,9.654919e-02,4.396997e-01,1.325281e+00,1.325316e+00
800,2.800000e+00,9.854672e-02,4.487959e-01,1.314370e+00,1.314402e+00
810,2.835000e+00,9.819713e-02,4.472036e-01,1.304387e+00,1.304418e+00
820,2.870000e+00,9.545806e-02,4.347299e-01,1.293915e+00,1.293947e+00
830,2.905000e+00,9.034563e-02,4.114456e-01,1.281452e+00,1.281479e+00
840,2.940000e+00,8.293527e-02,3.777009e-01,1.265086e+00,1.265123e+00
850,2.975000e+00,7.336105e-02,3.341007e-01,1.241961e+00,1.242006e+00
