timestep,time,energy
10,0.025,0.393964
20,0.05,0.394106
30,0.075,0.394331
40,0.1,0.394604
50,0.125,0.394885
60,0.15,0.395135
70,0.175,0.395326
80,0.2,0.395435
90,0.225,0.395457
100,0.25,0.395398
110,0.275,0.395275
120,0.3,0.395115
130,0.325,0.394945
140,0.35,0.394791
150,0.375,0.394675
160,0.4,0.394609
170,0.425,0.394597
180,0.45,0.394634
190,0.475,0.394708
200,0.5,0.394806
210,0.525,0.394911
220,0.55,0.395009
230,0.575,0.395089
240,0.6,0.395143
250,0.625,0.395168
260,0.65,0.395161
270,0.675,0.395125
280,0.7,0.395063
290,0.725,0.394977
300,0.75,0.394875
310,0.775,0.394763
320,0.8,0.39465
330,0.825,0.394536
340,0.85,0.394443
350,0.875,0.394413
360,0.9,0.394325
370,0.925,0.394322
380,0.95,0.394508
390,0.975,0.394488
400,1,0.394654
410,1.025,0.394846
420,1.05,0.394996
430,1.075,0.395112
440,1.1,0.39518
450,1.125,0.395181
460,1.15,0.395114
470,1.175,0.394988
480,1.2,0.39481
490,1.225,0.394599
500,1.25,0.394381
510,1.275,0.394186
520,1.3,0.394036
530,1.325,0.393947
540,1.35,0.393929
550,1.375,0.393987
560,1.4,0.394112
570,1.425,0.394289
580,1.45,0.394497
590,1.475,0.394712
600,1.5,0.39491
610,1.525,0.395069
620,1.55,0.395174
630,1.575,0.395214
640,1.6,0.395189
650,1.625,0.395106
660,1.65,0.394977
670,1.675,0.394817
680,1.7,0.394669
690,1.725,0.394552
700,1.75,0.394428
710,1.775,0.394384
720,1.8,0.394357
730,1.825,0.394393
740,1.85,0.394546
750,1.875,0.394702
760,1.9,0.394809
770,1.925,0.394979
780,1.95,0.395052
790,1.975,0.395078
800,2,0.395048
810,2.025,0.394917
820,2.05,0.394727
830,2.075,0.394495
840,2.1,0.394261
850,2.125,0.394052
860,2.15,0.393879
870,2.175,0.393777
880,2.2,0.393765
890,2.225,0.393828
900,2.25,0.393953
910,2.275,0.394134
920,2.3,0.394344
930,2.325,0.394547
940,2.35,0.394723
950,2.375,0.394857
960,2.4,0.394939
970,2.425,0.394963
980,2.45,0.394935
990,2.475,0.394865
1000,2.5,0.394769
1010,2.525,0.394655
1020,2.55,0.39453
1030,2.575,0.394426
1040,2.6,0.394343
1050,2.625,0.394261
1060,2.65,0.394204
1070,2.675,0.394174
1080,2.7,0.394168
1090,2.725,0.394178
1100,2.75,0.394223
1110,2.775,0.394313
1120,2.8,0.394382
1130,2.825,0.394504
1140,2.85,0.394619
1150,2.875,0.394711
1160,2.9,0.394801
1170,2.925,0.394807
1180,2.95,0.394824
1190,2.975,0.394795
1200,3,0.394647
1210,3.025,0.394457
1220,3.05,0.394288
1230,3.075,0.394147
1240,3.1,0.394043
1250,3.125,0.394001
1260,3.15,0.39403
1270,3.175,0.394123
1280,3.2,0.39427
1290,3.225,0.394453
1300,3.25,0.394636
1310,3.275,0.394788
1320,3.3,0.394882
1330,3.325,0.394898
1340,3.35,0.394827
1350,3.375,0.394673
1360,3.4,0.394453
1370,3.425,0.394205
1380,3.45,0.393959
1390,3.475,0.39374
1400,3.5,0.393582
1410,3.525,0.393511
1420,3.55,0.393534
1430,3.575,0.39365
1440,3.6,0.393823
1450,3.625,0.394025
1460,3.65,0.394241
1470,3.675,0.394479
1480,3.7,0.394656
1490,3.725,0.394774
1500,3.75,0.394852
1510,3.775,0.394859
1520,3.8,0.394816
1530,3.825,0.394744
1540,3.85,0.394619
1550,3.875,0.394546
1560,3.9,0.394379
1570,3.925,0.394305
1580,3.95,0.394284
1590,3.975,0.394205
1600,4,0.394148
1610,4.025,0.394151
1620,4.05,0.394185
1630,4.075,0.394235
1640,4.1,0.394295
1650,4.125,0.394356
1660,4.15,0.39441
1670,4.175,0.394449
1680,4.2,0.394463
1690,4.225,0.394447
1700,4.25,0.394397
1710,4.275,0.39432
1720,4.3,0.394224
1730,4.325,0.394111
1740,4.35,0.394003
1750,4.375,0.39391
1760,4.4,0.39385
1770,4.425,0.393818
1780,4.45,0.39383
1790,4.475,0.393879
1800,4.5,0.393963
1810,4.525,0.394078
1820,4.55,0.394215
1830,4.575,0.394344
1840,4.6,0.394448
1850,4.625,0.394528
1860,4.65,0.394584
1870,4.675,0.39458
1880,4.7,0.394526
1890,4.725,0.39446
1900,4.75,0.394314
1910,4.775,0.394198
1920,4.8,0.394015
1930,4.825,0.393906
1940,4.85,0.393755
1950,4.875,0.393694
1960,4.9,0.393664
1970,4.925,0.393661
1980,4.95,0.393769
1990,4.975,0.393923
2000,5,0.394075
2010,5.025,0.394244
2020,5.05,0.394428
2030,5.075,0.394598
2040,5.1,0.394724
2050,5.125,0.39478
2060,5.15,0.394758
2070,5.175,0.394673
2080,5.2,0.394539
2090,5.225,0.394375
2100,5.25,0.394202
2110,5.275,0.394048
2120,5.3,0.393931
2130,5.325,0.39387
2140,5.35,0.393875
2150,5.375,0.393946
2160,5.4,0.394059
2170,5.425,0.394175
2180,5.45,0.394269
2190,5.475,0.394364
2200,5.5,0.394429
2210,5.525,0.394385
2220,5.55,0.394284
2230,5.575,0.394193
2240,5.6,0.393993
2250,5.625,0.393833
2260,5.65,0.39369
2270,5.675,0.39355
2280,5.7,0.393507
2290,5.725,0.393482
2300,5.75,0.393536
2310,5.775,0.393626
2320,5.8,0.393741
2330,5.825,0.393864
2340,5.85,0.39402
2350,5.875,0.394099
2360,5.9,0.394192
2370,5.925,0.394309
2380,5.95,0.394357
2390,5.975,0.394365
2400,6,0.394379
2410,6.025,0.394397
2420,6.05,0.394396
2430,6.075,0.394375
2440,6.1,0.394329
2450,6.125,0.394261
2460,6.15,0.394169
2470,6.175,0.394057
2480,6.2,0.393938
2490,6.225,0.393824
2500,6.25,0.393743
2510,6.275,0.393715
2520,6.3,0.393742
2530,6.325,0.393802
2540,6.35,0.393887
2550,6.375,0.394017
2560,6.4,0.394176
2570,6.425,0.394292
2580,6.45,0.394354
2590,6.475,0.394407
2600,6.5,0.394379
2610,6.525,0.394285
2620,6.55,0.394173
2630,6.575,0.394022
2640,6.6,0.393874
2650,6.625,0.393753
2660,6.65,0.393672
2670,6.675,0.393646
2680,6.7,0.393671
2690,6.725,0.393757
2700,6.75,0.393842
2710,6.775,0.394011
2720,6.8,0.394071
2730,6.825,0.394177
2740,6.85,0.394246
2750,6.875,0.394176
2760,6.9,0.394112
2770,6.925,0.394051
2780,6.95,0.393914
2790,6.975,0.393741
2800,7,0.39358
2810,7.025,0.393476
2820,7.05,0.393418
2830,7.075,0.393404
2840,7.1,0.393421
2850,7.125,0.393471
2860,7.15,0.393557
2870,7.175,0.393688
2880,7.2,0.393851
2890,7.225,0.394006
2900,7.25,0.394129
2910,7.275,0.394237
2920,7.3,0.394329
2930,7.325,0.394375
2940,7.35,0.394384
2950,7.375,0.394366
2960,7.4,0.394299
2970,7.425,0.394234
2980,7.45,0.394141
2990,7.475,0.394026
3000,7.5,0.393964
3010,7.525,0.393847
3020,7.55,0.393819
3030,7.575,0.393746
3040,7.6,0.393759
3050,7.625,0.393726
3060,7.65,0.393777
3070,7.675,0.393749
3080,7.7,0.393821
3090,7.725,0.39378
3100,7.75,0.393816
3110,7.775,0.393819
3120,7.8,0.393758
3130,7.825,0.393785
3140,7.85,0.393759
3150,7.875,0.393696
3160,7.9,0.393684
3170,7.925,0.39368
3180,7.95,0.393656
3190,7.975,0.393633
3200,8,0.393624
3210,8.025,0.393618
3220,8.05,0.393621
3230,8.075,0.39364
3240,8.1,0.39368
3250,8.125,0.393732
3260,8.15,0.393809
3270,8.175,0.393908
3280,8.2,0.393993
3290,8.225,0.394051
3300,8.25,0.394103
3310,8.275,0.394108
3320,8.3,0.394044
3330,8.325,0.393965
3340,8.35,0.393836
3350,8.375,0.393664
3360,8.4,0.393538
3370,8.425,0.393384
3380,8.45,0.393311
3390,8.475,0.393285
3400,8.5,0.393312
3410,8.525,0.393436
3420,8.55,0.393567
3430,8.575,0.393776
3440,8.6,0.393928
3450,8.625,0.39411
3460,8.65,0.394196
3470,8.675,0.394262
3480,8.7,0.394235
3490,8.725,0.394165
3500,8.75,0.394053
3510,8.775,0.393903
3520,8.8,0.393791
3530,8.825,0.39365
3540,8.85,0.393582
3550,8.875,0.393584
3560,8.9,0.393551
3570,8.925,0.393529
3580,8.95,0.39359
3590,8.975,0.393675
3600,9,0.393716
3610,9.025,0.393704
3620,9.05,0.393661
3630,9.075,0.393605
3640,9.1,0.393536
3650,9.125,0.393465
3660,9.15,0.393426
3670,9.175,0.393415
3680,9.2,0.393398
3690,9.225,0.393415
3700,9.25,0.393472
3710,9.275,0.393479
3720,9.3,0.393505
3730,9.325,0.393546
3740,9.35,0.393521
3750,9.375,0.393553
3760,9.4,0.39356
3770,9.425,0.393576
3780,9.45,0.393635
3790,9.475,0.393677
3800,9.5,0.393783
3810,9.525,0.393862
3820,9.55,0.393978
3830,9.575,0.394055
3840,9.6,0.394123
3850,9.625,0.39413
3860,9.65,0.39411
3870,9.675,0.393999
3880,9.7,0.393903
3890,9.725,0.393709
3900,9.75,0.393553
3910,9.775,0.393426
3920,9.8,0.393258
3930,9.825,0.393194
3940,9.85,0.393215
3950,9.875,0.393228
3960,9.9,0.393273
3970,9.925,0.393386
3980,9.95,0.393538
3990,9.975,0.393681
4000,10,0.393783
4010,10.025,0.393827
4020,10.05,0.393829
4030,10.075,0.393812
4040,10.1,0.393756
4050,10.125,0.393671
4060,10.15,0.393605
4070,10.175,0.393513
4080,10.2,0.393413
4090,10.225,0.39337
4100,10.25,0.393325
4110,10.275,0.393314
4120,10.3,0.393345
4130,10.325,0.39338
4140,10.35,0.393439
4150,10.375,0.393501
4160,10.4,0.393556
4170,10.425,0.393601
4180,10.45,0.39363
4190,10.475,0.393631
4200,10.5,0.393615
4210,10.525,0.393574
4220,10.55,0.393505
4230,10.575,0.393458
4240,10.6,0.393352
4250,10.625,0.39334
4260,10.65,0.393262
4270,10.675,0.393275
4280,10.7,0.393327
4290,10.725,0.393346
4300,10.75,0.393463
4310,10.775,0.393575
4320,10.8,0.393637
4330,10.825,0.393751
4340,10.85,0.393873
4350,10.875,0.393918
4360,10.9,0.393926
4370,10.925,0.393944
4380,10.95,0.393938
4390,10.975,0.393894
4400,11,0.393833
4410,11.025,0.393753
4420,11.05,0.393678
4430,11.075,0.393605
4440,11.1,0.393498
4450,11.125,0.393392
4460,11.15,0.393293
4470,11.175,0.393189
4480,11.2,0.393109
4490,11.225,0.393043
4500,11.25,0.393013
4510,11.275,0.393007
4520,11.3,0.393062
4530,11.325,0.393126
4540,11.35,0.393253
4550,11.375,0.393355
4560,11.4,0.393484
4570,11.425,0.39355
4580,11.45,0.393617
4590,11.475,0.393588
4600,11.5,0.39357
4610,11.525,0.393451
4620,11.55,0.393379
4630,11.575,0.393251
4640,11.6,0.393183
4650,11.625,0.393147
4660,11.65,0.393139
4670,11.675,0.393217
4680,11.7,0.393332
4690,11.725,0.393484
4700,11.75,0.393643
4710,11.775,0.393782
4720,11.8,0.393887
4730,11.825,0.393913
4740,11.85,0.39387
4750,11.875,0.393799
4760,11.9,0.393676
4770,11.925,0.393487
4780,11.95,0.393278
4790,11.975,0.393108
4800,12,0.39301
