timestep,time,L2_error,H1_error,rel_L2_error,rel_H1_error
10,0.025,3.349054e-04,3.621379e-02,2.376252e-03,4.095944e-02
20,5.000000e-02,5.353881e-04,3.503845e-02,3.939956e-03,4.157033e-02
30,7.500000e-02,6.819094e-04,3.335334e-02,5.336688e-03,4.293179e-02
40,1.000000e-01,7.831022e-04,3.119282e-02,6.688549e-03,4.517370e-02
50,1.250000e-01,8.416603e-04,2.876026e-02,8.056345e-03,4.873244e-02
60,1.500000e-01,8.612089e-04,2.635087e-02,9.477628e-03,5.428683e-02
70,1.750000e-01,8.476653e-04,2.432500e-02,1.093620e-02,6.219382e-02
80,2.000000e-01,8.096012e-04,2.304244e-02,1.225233e-02,6.974618e-02
90,2.250000e-01,7.581912e-04,2.273518e-02,1.293243e-02,6.968943e-02
100,2.500000e-01,7.065676e-04,2.338540e-02,1.244020e-02,6.233679e-02
110,2.750000e-01,6.678678e-04,2.473447e-02,1.105738e-02,5.492315e-02
120,3.000000e-01,6.514053e-04,2.641933e-02,9.654548e-03,4.990687e-02
130,3.250000e-01,6.586260e-04,2.810374e-02,8.685726e-03,4.685530e-02
140,3.500000e-01,6.827822e-04,2.953679e-02,8.133225e-03,4.506505e-02
150,3.750000e-01,7.131007e-04,3.056066e-02,7.838826e-03,4.405894e-02
160,4.000000e-01,7.394974e-04,3.110038e-02,7.664439e-03,4.354922e-02
170,4.250000e-01,7.550491e-04,3.114573e-02,7.520938e-03,4.335227e-02
180,4.500000e-01,7.565300e-04,3.074690e-02,7.358482e-03,4.334695e-02
190,4.750000e-01,7.443031e-04,3.010383e-02,7.156913e-03,4.359008e-02
200,5.000000e-01,7.216264e-04,2.902172e-02,6.918294e-03,4.353099e-02
210,5.250000e-01,6.998830e-04,2.807984e-02,6.721185e-03,4.373715e-02
220,5.500000e-01,6.814640e-04,2.716918e-02,6.561934e-03,4.378533e-02
230,5.750000e-01,6.697172e-04,2.645321e-02,6.452582e-03,4.372484e-02
240,6.000000e-01,6.657874e-04,2.598984e-02,6.390924e-03,4.354890e-02
250,6.250000e-01,6.690532e-04,2.580663e-02,6.364408e-03,4.331312e-02
260,6.500000e-01,6.781697e-04,2.589558e-02,6.359758e-03,4.308920e-02
270,6.750000e-01,6.917869e-04,2.623465e-02,6.368952e-03,4.294552e-02
280,7.000000e-01,7.087055e-04,2.678777e-02,6.389232e-03,4.290712e-02
290,7.250000e-01,7.276174e-04,2.751428e-02,6.419314e-03,4.296144e-02
300,7.500000e-01,7.467574e-04,2.836582e-02,6.455597e-03,4.306747e-02
310,7.750000e-01,7.637675e-04,2.928543e-02,6.490953e-03,4.317946e-02
320,8.000000e-01,7.759057e-04,3.020025e-02,6.516499e-03,4.325810e-02
330,8.250000e-01,7.805213e-04,3.072792e-02,6.524996e-03,4.287206e-02
340,8.500000e-01,7.761904e-04,3.081165e-02,6.519123e-03,4.210440e-02
350,8.750000e-01,7.635297e-04,3.184560e-02,6.517417e-03,4.299342e-02
360,9.000000e-01,7.428545e-04,3.056075e-02,6.535050e-03,4.125351e-02
370,9.250000e-01,7.197870e-04,2.921268e-02,6.636070e-03,4.003620e-02
380,9.500000e-01,7.210830e-04,3.339182e-02,7.107311e-03,4.733411e-02
390,9.750000e-01,7.093072e-04,2.668368e-02,7.653014e-03,3.998874e-02
400,1.000000e+00,7.415010e-04,2.649559e-02,9.004480e-03,4.304844e-02
410,1.025000e+00,7.700774e-04,2.548740e-02,1.086162e-02,4.616955e-02
420,1.050000e+00,8.484748e-04,2.443614e-02,1.433030e-02,5.077551e-02
430,1.075000e+00,9.423911e-04,2.360697e-02,1.925572e-02,5.742795e-02
440,1.100000e+00,1.029250e-03,2.327060e-02,2.394731e-02,6.555484e-02
450,1.125000e+00,1.097060e-03,2.314082e-02,2.473995e-02,6.978404e-02
460,1.150000e+00,1.139482e-03,2.381612e-02,2.156480e-02,6.737500e-02
470,1.175000e+00,1.153616e-03,2.499565e-02,1.761523e-02,6.042002e-02
480,1.200000e+00,1.139474e-03,2.669932e-02,1.430394e-02,5.398956e-02
490,1.225000e+00,1.099968e-03,2.831099e-02,1.173475e-02,4.873382e-02
500,1.250000e+00,1.041533e-03,2.995868e-02,9.760745e-03,4.519028e-02
510,1.275000e+00,9.747900e-04,3.150567e-02,8.268284e-03,4.291861e-02
520,1.300000e+00,9.151561e-04,3.268255e-02,7.215652e-03,4.136872e-02
530,1.325000e+00,8.818858e-04,3.350811e-02,6.621226e-03,4.046703e-02
540,1.350000e+00,8.926971e-04,3.373898e-02,6.525728e-03,3.985397e-02
550,1.375000e+00,9.551688e-04,3.358354e-02,6.942009e-03,3.973512e-02
560,1.400000e+00,1.062775e-03,3.301209e-02,7.834631e-03,4.004005e-02
570,1.425000e+00,1.200309e-03,3.202373e-02,9.150735e-03,4.074188e-02
580,1.450000e+00,1.351088e-03,3.077116e-02,1.085369e-02,4.201375e-02
590,1.475000e+00,1.500786e-03,2.938844e-02,1.293190e-02,4.403270e-02
600,1.500000e+00,1.638903e-03,2.786828e-02,1.538785e-02,4.673532e-02
610,1.525000e+00,1.758053e-03,2.677823e-02,1.819213e-02,5.088473e-02
620,1.550000e+00,1.847527e-03,2.591084e-02,2.113134e-02,5.548470e-02
630,1.575000e+00,1.901961e-03,2.535403e-02,2.377288e-02,5.895631e-02
640,1.600000e+00,1.921058e-03,2.537097e-02,2.547101e-02,5.975527e-02
650,1.625000e+00,1.907473e-03,2.590903e-02,2.568144e-02,5.746005e-02
660,1.650000e+00,1.865626e-03,2.679951e-02,2.443670e-02,5.360649e-02
670,1.675000e+00,1.801658e-03,2.784987e-02,2.232994e-02,4.977631e-02
680,1.700000e+00,1.724200e-03,2.914691e-02,2.003504e-02,4.706750e-02
690,1.725000e+00,1.645322e-03,3.205610e-02,1.801001e-02,4.772765e-02
700,1.750000e+00,1.579703e-03,3.215156e-02,1.650158e-02,4.519356e-02
710,1.775000e+00,1.545774e-03,3.231067e-02,1.567270e-02,4.395436e-02
720,1.800000e+00,1.558698e-03,3.073577e-02,1.562407e-02,4.149738e-02
730,1.825000e+00,1.627332e-03,3.043258e-02,1.642207e-02,4.183110e-02
740,1.850000e+00,1.747201e-03,3.017601e-02,1.804385e-02,4.332781e-02
750,1.875000e+00,1.902240e-03,2.920254e-02,2.035869e-02,4.492546e-02
760,1.900000e+00,2.070570e-03,2.691226e-02,2.309963e-02,4.539741e-02
770,1.925000e+00,2.235283e-03,2.733665e-02,2.587481e-02,5.136225e-02
780,1.950000e+00,2.370829e-03,2.656401e-02,2.797617e-02,5.543504e-02
790,1.975000e+00,2.471226e-03,2.883037e-02,2.887968e-02,6.442184e-02
800,2.000000e+00,2.495528e-03,2.826792e-02,2.797626e-02,6.295811e-02
810,2.025000e+00,2.446269e-03,2.853128e-02,2.566668e-02,5.881055e-02
820,2.050000e+00,2.331657e-03,2.955945e-02,2.262365e-02,5.412092e-02
830,2.075000e+00,2.153860e-03,3.026775e-02,1.932713e-02,4.893977e-02
840,2.100000e+00,1.927799e-03,3.131751e-02,1.613658e-02,4.536873e-02
