timestep,time,energy
10,0.025,1.43353
20,0.05,1.43353
30,0.075,1.43353
40,0.1,1.43353
50,0.125,1.43353
60,0.15,1.43353
70,0.175,1.43361
80,0.2,1.43467
90,0.225,1.43828
100,0.25,1.43974
110,0.275,1.44572
120,0.3,1.44295
130,0.325,1.44916
140,0.35,1.4524
150,0.375,1.45563
160,0.4,1.45823
170,0.425,1.4552
180,0.45,1.43436
190,0.475,1.44323
200,0.5,1.43226
210,0.525,1.42929
220,0.55,1.42667
230,0.575,1.42893
240,0.6,1.42618
250,0.625,1.42624
260,0.65,1.41921
270,0.675,1.41886
280,0.7,1.41246
290,0.725,1.41108
300,0.75,1.40696
310,0.775,1.40578
320,0.8,1.40277
330,0.825,1.40175
340,0.85,1.40528
350,0.875,1.40628
360,0.9,1.40765
370,0.925,1.40902
380,0.95,1.4101
390,0.975,1.41098
400,1,1.41262
410,1.025,1.41398
420,1.05,1.41391
430,1.075,1.41418
440,1.1,1.41401
450,1.125,1.41444
460,1.15,1.41615
470,1.175,1.41396
480,1.2,1.4168
