timestep,time,energy
10,0.15625,3.58496
20,0.3125,7.25407
30,0.46875,8.48168
40,0.625,9.45186
50,0.78125,9.45985
60,0.9375,9.44938
70,1.09375,9.42454
80,1.25,9.38773
90,1.40625,9.3511
100,1.5625,9.32126
110,1.71875,9.297
120,1.875,9.27655
130,2.03125,9.25312
140,2.1875,9.23131
150,2.34375,9.21121
160,2.5,9.19359
170,2.65625,9.17788
180,2.8125,9.16557
190,2.96875,9.15658
200,3.125,9.09893
210,3.28125,8.88518
220,3.4375,9.32724
230,3.59375,8.70561
240,3.75,8.36413
250,3.90625,8.22673
260,4.0625,8.12489
270,4.21875,8.0671
280,4.375,7.98586
290,4.53125,7.99258
300,4.6875,7.93945
310,4.84375,7.9193
320,5,7.91874
