timestep,time,energy
10,0.035,2.59236
20,0.07,2.58767
30,0.105,2.57291
40,0.14,2.5508
50,0.175,2.52688
60,0.21,2.50228
70,0.245,2.47899
80,0.28,2.45959
90,0.315,2.44598
100,0.35,2.43923
110,0.385,2.44006
120,0.42,2.44834
130,0.455,2.46334
140,0.49,2.48361
150,0.525,2.50718
160,0.56,2.53175
170,0.595,2.55518
180,0.63,2.57508
190,0.665,2.58943
200,0.7,2.59717
210,0.735,2.59739
220,0.77,2.58998
230,0.805,2.57575
240,0.84,2.55614
250,0.875,2.53274
260,0.91,2.50797
270,0.945,2.48413
280,0.98,2.46088
290,1.015,2.43661
300,1.05,2.4413
310,1.085,2.43496
320,1.12,2.43983
330,1.155,2.44708
340,1.19,2.45859
350,1.225,2.48958
360,1.26,2.50324
370,1.295,2.53304
380,1.33,2.55794
390,1.365,2.57333
400,1.4,2.58364
410,1.435,2.58839
420,1.47,2.58606
430,1.505,2.57582
440,1.54,2.55824
450,1.575,2.53595
460,1.61,2.5121
470,1.645,2.48818
480,1.68,2.46684
490,1.715,2.44788
500,1.75,2.43501
510,1.785,2.42971
520,1.82,2.43172
530,1.855,2.44107
540,1.89,2.4572
550,1.925,2.4776
560,1.96,2.50178
570,1.995,2.53559
