timestep,time,L2_error,H1_error,rel_L2_error,rel_H1_error
10,0.035,4.445345e-03,6.618409e-01,8.999275e-03,2.942114e-01
20,7.000000e-02,7.516337e-03,6.699497e-01,1.579017e-02,3.090485e-01
30,1.050000e-01,9.672714e-03,6.410122e-01,2.165986e-02,3.151936e-01
40,1.400000e-01,1.139668e-02,5.947877e-01,2.804603e-02,3.214096e-01
50,1.750000e-01,1.284919e-02,5.378178e-01,3.605949e-02,3.314231e-01
60,2.100000e-01,1.410014e-02,4.729208e-01,4.736184e-02,3.488168e-01
70,2.450000e-01,1.518033e-02,4.012951e-01,6.545939e-02,3.799779e-01
80,2.800000e-01,1.609872e-02,3.294307e-01,1.003024e-01,4.507004e-01
90,3.150000e-01,1.685078e-02,2.663062e-01,1.977190e-01,6.861411e-01
100,3.500000e-01,1.742449e-02,2.269883e-01,2.207498e+00,6.314626e+00
110,3.850000e-01,1.780593e-02,2.291505e-01,2.557230e-01,7.226529e-01
120,4.200000e-01,1.798502e-02,2.711446e-01,1.236317e-01,4.092831e-01
130,4.550000e-01,1.796168e-02,3.358587e-01,8.246685e-02,3.386047e-01
140,4.900000e-01,1.775489e-02,4.065190e-01,6.232388e-02,3.133439e-01
150,5.250000e-01,1.815310e-02,4.781184e-01,5.260510e-02,3.042400e-01
160,5.600000e-01,1.905441e-02,5.460066e-01,4.800124e-02,3.020360e-01
170,5.950000e-01,1.913920e-02,6.060855e-01,4.357232e-02,3.029875e-01
180,6.300000e-01,1.855371e-02,6.472769e-01,3.939666e-02,3.018024e-01
190,6.650000e-01,1.751644e-02,6.781748e-01,3.565498e-02,3.031236e-01
200,7.000000e-01,1.634679e-02,6.919167e-01,3.270988e-02,3.040215e-01
210,7.350000e-01,1.550238e-02,6.926415e-01,3.124438e-02,3.065391e-01
220,7.700000e-01,1.550795e-02,6.790314e-01,3.226744e-02,3.102444e-01
230,8.050000e-01,1.671693e-02,6.520288e-01,3.686608e-02,3.157484e-01
240,8.400000e-01,1.908734e-02,6.112304e-01,4.595473e-02,3.231421e-01
250,8.750000e-01,2.227677e-02,5.604115e-01,6.066187e-02,3.351000e-01
260,9.100000e-01,2.587785e-02,5.009892e-01,8.341120e-02,3.545917e-01
270,9.450000e-01,2.953650e-02,4.363614e-01,1.201779e-01,3.898663e-01
280,9.800000e-01,3.296879e-02,3.592491e-01,1.879943e-01,4.498227e-01
290,1.015000e+00,3.592771e-02,2.696204e-01,3.566481e-01,5.877155e-01
300,1.050000e+00,3.772002e-02,2.641776e-01,1.593438e+00,2.450548e+00
310,1.085000e+00,3.873638e-02,2.585630e-01,7.178164e-01,1.052119e+00
320,1.120000e+00,3.891646e-02,2.871604e-01,2.986722e-01,4.839383e-01
330,1.155000e+00,3.818694e-02,3.179919e-01,1.876620e-01,3.431479e-01
340,1.190000e+00,3.650988e-02,3.430590e-01,1.343426e-01,2.771890e-01
350,1.225000e+00,3.388815e-02,4.358236e-01,1.016173e-01,2.869687e-01
360,1.260000e+00,3.036521e-02,4.873086e-01,7.843041e-02,2.763861e-01
370,1.295000e+00,2.605977e-02,5.641902e-01,6.039464e-02,2.871159e-01
380,1.330000e+00,2.118978e-02,5.847166e-01,4.552936e-02,2.758763e-01
390,1.365000e+00,1.623568e-02,6.310120e-01,3.326333e-02,2.838812e-01
400,1.400000e+00,1.236810e-02,6.682732e-01,2.478560e-02,2.940725e-01
410,1.435000e+00,1.192564e-02,6.840082e-01,2.395336e-02,3.016823e-01
420,1.470000e+00,1.575512e-02,6.824640e-01,3.250350e-02,3.091662e-01
430,1.505000e+00,2.184961e-02,6.644458e-01,4.751206e-02,3.172661e-01
440,1.540000e+00,2.903935e-02,6.328424e-01,6.850010e-02,3.277961e-01
450,1.575000e+00,3.611940e-02,5.966423e-01,9.561521e-02,3.468202e-01
460,1.610000e+00,4.233256e-02,5.527502e-01,1.312767e-01,3.763968e-01
470,1.645000e+00,4.783636e-02,5.056839e-01,1.844138e-01,4.280735e-01
480,1.680000e+00,5.259379e-02,4.459639e-01,2.767138e-01,5.152285e-01
490,1.715000e+00,5.648689e-02,3.907916e-01,4.863359e-01,7.388184e-01
500,1.750000e+00,5.937363e-02,3.523561e-01,1.505903e+00,1.962407e+00
510,1.785000e+00,6.111638e-02,3.329330e-01,1.598030e+00,1.911561e+00
520,1.820000e+00,6.159552e-02,3.382222e-01,5.356412e-01,6.458488e-01
530,1.855000e+00,6.072334e-02,3.683611e-01,3.213417e-01,4.280447e-01
540,1.890000e+00,5.845088e-02,4.113937e-01,2.262187e-01,3.496222e-01
550,1.925000e+00,5.477528e-02,4.675740e-01,1.703419e-01,3.192942e-01
560,1.960000e+00,4.974747e-02,5.191589e-01,1.319632e-01,3.024030e-01
570,1.995000e+00,4.347410e-02,5.955970e-01,1.027025e-01,3.089631e-01
