timestep,time,energy
10,0.035,9.35729
20,0.07,9.38159
30,0.105,9.41591
40,0.14,9.45207
50,0.175,9.48065
60,0.21,9.49446
70,0.245,9.49001
80,0.28,9.46826
90,0.315,9.43435
100,0.35,9.39636
110,0.385,9.36338
120,0.42,9.3433
130,0.455,9.34093
140,0.49,9.35687
150,0.525,9.38731
160,0.56,9.42501
170,0.595,9.46098
180,0.63,9.48658
190,0.665,9.49574
200,0.7,9.48556
210,0.735,9.46275
220,0.77,9.42351
230,0.805,9.38692
240,0.84,9.34368
250,0.875,9.35252
260,0.91,9.33892
270,0.945,9.32842
280,0.98,9.3715
290,1.015,9.42611
300,1.05,9.46621
310,1.085,9.48657
320,1.12,9.48619
330,1.155,9.46674
340,1.19,9.43334
350,1.225,9.39409
360,1.26,9.35835
370,1.295,9.33484
380,1.33,9.32855
390,1.365,9.34108
400,1.4,9.3744
410,1.435,9.40542
420,1.47,9.4454
430,1.505,9.48292
440,1.54,9.48553
450,1.575,9.47596
460,1.61,9.46461
470,1.645,9.41441
480,1.68,9.38455
490,1.715,9.37718
500,1.75,9.31007
510,1.785,9.32423
520,1.82,9.37765
530,1.855,9.39
540,1.89,9.40255
550,1.925,9.44295
560,1.96,9.47954
570,1.995,9.4878
