timestep,time,L2_error,H1_error,rel_L2_error,rel_H1_error
10,0.035,7.726611e-03,5.150765e-01,1.305230e-02,1.226249e-01
20,7.000000e-02,1.184484e-02,4.907255e-01,2.201591e-02,1.285450e-01
30,1.050000e-01,1.397588e-02,4.497620e-01,3.094118e-02,1.403296e-01
40,1.400000e-01,1.474922e-02,4.011030e-01,4.361052e-02,1.671424e-01
50,1.750000e-01,1.452618e-02,3.546412e-01,7.107692e-02,2.445542e-01
60,2.100000e-01,1.372727e-02,3.245581e-01,2.356631e-01,7.852515e-01
70,2.450000e-01,1.292038e-02,3.236307e-01,1.413962e-01,4.991381e-01
80,2.800000e-01,1.276742e-02,3.527996e-01,5.421231e-02,2.111211e-01
90,3.150000e-01,1.371590e-02,4.001760e-01,3.752914e-02,1.543136e-01
100,3.500000e-01,1.568899e-02,4.532853e-01,3.313715e-02,1.349275e-01
110,3.850000e-01,1.823142e-02,4.984649e-01,3.297045e-02,1.270421e-01
120,4.200000e-01,2.091231e-02,5.317797e-01,3.489986e-02,1.250726e-01
130,4.550000e-01,2.337659e-02,5.352371e-01,3.835907e-02,1.237776e-01
140,4.900000e-01,2.516667e-02,5.449601e-01,4.317004e-02,1.317438e-01
150,5.250000e-01,2.510035e-02,4.935573e-01,4.813537e-02,1.333923e-01
160,5.600000e-01,2.518769e-02,4.429887e-01,5.877058e-02,1.456710e-01
170,5.950000e-01,2.649870e-02,4.001628e-01,8.550124e-02,1.819673e-01
180,6.300000e-01,2.886482e-02,3.751198e-01,1.672099e-01,3.062471e-01
190,6.650000e-01,3.143801e-02,3.764113e-01,1.260160e+00,2.126386e+00
200,7.000000e-01,3.327564e-02,4.038689e-01,2.678518e-01,4.581601e-01
210,7.350000e-01,3.364650e-02,4.449075e-01,1.265199e-01,2.357748e-01
220,7.700000e-01,3.212023e-02,4.513026e-01,8.201260e-02,1.623972e-01
230,8.050000e-01,2.872167e-02,4.987932e-01,5.816404e-02,1.423554e-01
240,8.400000e-01,2.395066e-02,5.069638e-01,4.229636e-02,1.261744e-01
250,8.750000e-01,1.997358e-02,5.704881e-01,3.303313e-02,1.329686e-01
260,9.100000e-01,1.749747e-02,4.938049e-01,2.884138e-02,1.147110e-01
270,9.450000e-01,2.212737e-02,4.530267e-01,3.866963e-02,1.115766e-01
280,9.800000e-01,3.044862e-02,4.430233e-01,6.049382e-02,1.240448e-01
290,1.015000e+00,3.940350e-02,4.482476e-01,9.749022e-02,1.562978e-01
300,1.050000e+00,4.758314e-02,4.669778e-01,1.695079e-01,2.344455e-01
310,1.085000e+00,5.344580e-02,4.841757e-01,3.807671e-01,4.861359e-01
320,1.120000e+00,5.612957e-02,4.918972e-01,6.659191e+00,8.224565e+00
330,1.155000e+00,5.528432e-02,5.025066e-01,3.527714e-01,4.518997e-01
340,1.190000e+00,5.088140e-02,5.079406e-01,1.721445e-01,2.421898e-01
350,1.225000e+00,4.322353e-02,5.103335e-01,1.037393e-01,1.726180e-01
360,1.260000e+00,3.310657e-02,5.198590e-01,6.457603e-02,1.429063e-01
370,1.295000e+00,2.246109e-02,5.198838e-01,3.886940e-02,1.267921e-01
380,1.330000e+00,1.729413e-02,5.014238e-01,2.843082e-02,1.161727e-01
390,1.365000e+00,2.513566e-02,5.306429e-01,4.174463e-02,1.242000e-01
400,1.400000e+00,3.841576e-02,5.294372e-01,6.862979e-02,1.332989e-01
410,1.435000e+00,5.252128e-02,5.659382e-01,1.085801e-01,1.648894e-01
420,1.470000e+00,6.439986e-02,5.880700e-01,1.701123e-01,2.189216e-01
430,1.505000e+00,7.318513e-02,6.084137e-01,2.919636e-01,3.420690e-01
440,1.540000e+00,7.862701e-02,6.221991e-01,7.301855e-01,8.143284e-01
450,1.575000e+00,8.023503e-02,6.353708e-01,1.920408e+00,2.143214e+00
460,1.610000e+00,7.734249e-02,6.597722e-01,4.098087e-01,4.926810e-01
470,1.645000e+00,6.963609e-02,6.141151e-01,2.147109e-01,2.668568e-01
480,1.680000e+00,5.761746e-02,6.037357e-01,1.308256e-01,1.931943e-01
490,1.715000e+00,4.238029e-02,6.215777e-01,7.996076e-02,1.652788e-01
500,1.750000e+00,2.556089e-02,4.800730e-01,4.349056e-02,1.151159e-01
510,1.785000e+00,1.989732e-02,4.982359e-01,3.261299e-02,1.150906e-01
520,1.820000e+00,3.435935e-02,5.888848e-01,5.767141e-02,1.393012e-01
530,1.855000e+00,5.315676e-02,5.848276e-01,9.742505e-02,1.510598e-01
540,1.890000e+00,7.162032e-02,6.109468e-01,1.548083e-01,1.861102e-01
550,1.925000e+00,8.766973e-02,7.034362e-01,2.491793e-01,2.817707e-01
560,1.960000e+00,9.895315e-02,7.648444e-01,4.500585e-01,4.902541e-01
570,1.995000e+00,1.044274e-01,7.910521e-01,1.398403e+00,1.492904e+00
