timestep,time,energy
1,0.0035,592.665
2,0.007,592.665
3,0.0105,592.665
4,0.014,592.665
5,0.0175,592.665
6,0.021,592.665
7,0.0245,592.665
8,0.028,592.665
9,0.0315,592.665
10,0.035,592.665
11,0.0385,592.665
12,0.042,592.665
13,0.0455,592.665
14,0.049,592.665
15,0.0525,592.665
16,0.056,592.665
17,0.0595,592.665
18,0.063,592.665
19,0.0665,592.665
20,0.07,592.665
21,0.0735,592.665
22,0.077,592.665
23,0.0805,592.665
24,0.084,592.665
25,0.0875,592.665
26,0.091,592.665
27,0.0945,592.665
28,0.098,592.665
29,0.1015,592.665
30,0.105,592.665
31,0.1085,592.665
32,0.112,592.665
33,0.1155,592.665
34,0.119,592.665
35,0.1225,592.665
36,0.126,592.665
37,0.1295,592.665
38,0.133,592.665
39,0.1365,592.665
40,0.14,592.665
41,0.1435,592.665
42,0.147,592.665
43,0.1505,592.665
44,0.154,592.665
45,0.1575,592.665
46,0.161,592.665
47,0.1645,592.665
48,0.168,592.665
49,0.1715,592.665
50,0.175,592.665
51,0.1785,592.665
52,0.182,592.665
53,0.1855,592.665
54,0.189,592.665
55,0.1925,592.665
56,0.196,592.665
57,0.1995,592.665
58,0.203,592.665
59,0.2065,592.665
60,0.21,592.665
61,0.2135,592.665
62,0.217,592.665
63,0.2205,592.665
64,0.224,592.665
65,0.2275,592.665
66,0.231,592.665
67,0.2345,592.665
68,0.238,592.665
69,0.2415,592.665
70,0.245,592.665
71,0.2485,592.665
72,0.252,592.665
73,0.2555,592.665
74,0.259,592.665
75,0.2625,592.665
76,0.266,592.665
77,0.2695,592.665
78,0.273,592.665
79,0.2765,592.665
80,0.28,592.665
81,0.2835,592.665
82,0.287,592.665
83,0.2905,592.665
84,0.294,592.665
85,0.2975,592.665
86,0.301,592.665
87,0.3045,592.665
88,0.308,592.665
89,0.3115,592.665
90,0.315,592.665
91,0.3185,592.665
92,0.322,592.665
93,0.3255,592.665
94,0.329,592.665
95,0.3325,592.665
96,0.336,592.665
97,0.3395,592.665
98,0.343,592.665
99,0.3465,592.665
100,0.35,592.665
101,0.3535,592.665
102,0.357,592.665
103,0.3605,592.665
104,0.364,592.665
105,0.3675,592.665
106,0.371,592.665
107,0.3745,592.665
108,0.378,592.665
109,0.3815,592.665
110,0.385,592.665
111,0.3885,592.665
112,0.392,592.665
113,0.3955,592.665
114,0.399,592.665
115,0.4025,592.665
116,0.406,592.665
117,0.4095,592.665
118,0.413,592.665
119,0.4165,592.665
120,0.42,592.665
121,0.4235,592.665
122,0.427,592.665
123,0.4305,592.665
124,0.434,592.665
125,0.4375,592.665
126,0.441,592.665
127,0.4445,592.665
128,0.448,592.665
129,0.4515,592.665
130,0.455,592.665
131,0.4585,592.665
132,0.462,592.665
133,0.4655,592.665
134,0.469,592.665
135,0.4725,592.665
136,0.476,592.665
137,0.4795,592.665
138,0.483,592.665
139,0.4865,592.665
140,0.49,592.665
141,0.4935,592.665
142,0.497,592.665
143,0.5005,592.665
144,0.504,592.665
145,0.5075,592.665
146,0.511,592.665
147,0.5145,592.665
148,0.518,592.665
149,0.5215,592.665
150,0.525,592.665
151,0.5285,592.665
152,0.532,592.665
153,0.5355,592.665
154,0.539,592.665
155,0.5425,592.665
156,0.546,592.665
157,0.5495,592.665
158,0.553,592.665
159,0.5565,592.665
160,0.56,592.665
161,0.5635,592.665
162,0.567,592.665
163,0.5705,592.665
164,0.574,592.665
165,0.5775,592.665
166,0.581,592.665
167,0.5845,592.665
168,0.588,592.665
169,0.5915,592.665
170,0.595,592.665
171,0.5985,592.665
172,0.602,592.665
173,0.6055,592.665
174,0.609,592.665
175,0.6125,592.665
176,0.616,592.665
177,0.6195,592.665
178,0.623,592.665
179,0.6265,592.665
180,0.63,592.665
181,0.6335,592.665
182,0.637,592.665
183,0.6405,592.665
184,0.644,592.665
185,0.6475,592.665
186,0.651,592.665
187,0.6545,592.665
188,0.658,592.665
189,0.6615,592.665
190,0.665,592.665
191,0.6685,592.665
192,0.672,592.665
193,0.6755,592.665
194,0.679,592.665
195,0.6825,592.665
196,0.686,592.665
197,0.6895,592.665
198,0.693,592.665
199,0.6965,592.665
200,0.7,592.665
201,0.7035,592.665
202,0.707,592.665
203,0.7105,592.665
204,0.714,592.665
205,0.7175,592.665
206,0.721,592.665
207,0.7245,592.665
208,0.728,592.665
209,0.7315,592.665
210,0.735,592.665
211,0.7385,592.665
212,0.742,592.665
213,0.7455,592.665
214,0.749,592.665
215,0.7525,592.665
216,0.756,592.665
217,0.7595,592.665
218,0.763,592.665
219,0.7665,592.665
220,0.77,592.665
221,0.7735,592.665
222,0.777,592.665
223,0.7805,592.665
224,0.784,592.665
225,0.7875,592.665
226,0.791,592.665
227,0.7945,592.665
228,0.798,592.665
229,0.8015,592.665
230,0.805,592.665
231,0.8085,592.665
232,0.812,592.665
233,0.8155,592.665
234,0.819,592.665
235,0.8225,592.665
236,0.826,592.665
237,0.8295,592.665
238,0.833,592.665
239,0.8365,592.665
240,0.84,592.665
241,0.8435,592.665
242,0.847,592.665
243,0.8505,592.665
244,0.854,592.665
245,0.8575,592.665
246,0.861,592.665
247,0.8645,592.665
248,0.868,592.665
249,0.8715,592.665
250,0.875,592.665
251,0.8785,592.665
252,0.882,592.665
253,0.8855,592.665
254,0.889,592.665
255,0.8925,592.665
256,0.896,592.665
257,0.8995,592.665
258,0.903,592.665
259,0.9065,592.665
260,0.91,592.665
261,0.9135,592.665
262,0.917,592.665
263,0.9205,592.665
264,0.924,592.665
265,0.9275,592.665
266,0.931,592.665
267,0.9345,592.665
268,0.938,592.665
269,0.9415,592.665
270,0.945,592.665
271,0.9485,592.665
272,0.952,592.665
273,0.9555,592.665
274,0.959,592.665
275,0.9625,592.665
276,0.966,592.665
277,0.9695,592.665
278,0.973,592.665
279,0.9765,592.665
280,0.98,592.665
281,0.9835,592.665
282,0.987,592.665
283,0.9905,592.665
284,0.994,592.665
285,0.9975,592.665
286,1.001,592.665
287,1.0045,592.665
288,1.008,592.665
289,1.0115,592.665
290,1.015,592.665
291,1.0185,592.665
292,1.022,592.665
293,1.0255,592.665
294,1.029,592.665
295,1.0325,592.665
296,1.036,592.665
297,1.0395,592.665
298,1.043,592.665
299,1.0465,592.665
300,1.05,592.665
301,1.0535,592.665
302,1.057,592.665
303,1.0605,592.665
304,1.064,592.665
305,1.0675,592.665
306,1.071,592.665
