timestep,time,L2_error,H1_error,rel_L2_error,rel_H1_error
1,0.0035,1.238776e-01,2.661213e+01,1.435207e-01,1.397613e+00
2,7.000000e-03,1.307353e-01,2.288744e+01,1.514659e-01,1.202000e+00
3,1.050000e-02,1.565536e-01,2.136931e+01,1.813781e-01,1.122271e+00
4,1.400000e-02,1.906254e-01,2.229316e+01,2.208527e-01,1.170790e+00
5,1.750000e-02,2.189828e-01,2.204669e+01,2.537067e-01,1.157845e+00
6,2.100000e-02,2.407522e-01,2.168653e+01,2.789280e-01,1.138930e+00
7,2.450000e-02,2.592040e-01,2.200439e+01,3.003057e-01,1.155624e+00
8,2.800000e-02,2.760470e-01,2.186702e+01,3.198195e-01,1.148410e+00
9,3.150000e-02,2.925773e-01,2.179186e+01,3.389709e-01,1.144462e+00
10,3.500000e-02,3.086992e-01,2.204548e+01,3.576492e-01,1.157782e+00
11,3.850000e-02,3.233731e-01,2.202206e+01,3.746500e-01,1.156552e+00
12,4.200000e-02,3.366136e-01,2.210018e+01,3.899901e-01,1.160655e+00
13,4.550000e-02,3.488318e-01,2.235078e+01,4.041456e-01,1.173816e+00
14,4.900000e-02,3.602426e-01,2.242424e+01,4.173658e-01,1.177674e+00
15,5.250000e-02,3.711332e-01,2.261827e+01,4.299834e-01,1.187864e+00
16,5.600000e-02,3.814002e-01,2.289956e+01,4.418784e-01,1.202636e+00
17,5.950000e-02,3.908174e-01,2.305590e+01,4.527889e-01,1.210847e+00
18,6.300000e-02,3.995195e-01,2.331616e+01,4.628709e-01,1.224515e+00
19,6.650000e-02,4.075881e-01,2.360243e+01,4.722189e-01,1.239550e+00
20,7.000000e-02,4.150407e-01,2.380830e+01,4.808533e-01,1.250361e+00
21,7.350000e-02,4.219771e-01,2.411756e+01,4.888895e-01,1.266603e+00
22,7.700000e-02,4.283684e-01,2.442278e+01,4.962943e-01,1.282633e+00
23,8.050000e-02,4.342498e-01,2.465920e+01,5.031083e-01,1.295049e+00
24,8.400000e-02,4.397716e-01,2.495384e+01,5.095057e-01,1.310523e+00
25,8.750000e-02,4.449346e-01,2.520197e+01,5.154874e-01,1.323554e+00
26,9.100000e-02,4.497379e-01,2.539059e+01,5.210524e-01,1.333460e+00
