timestep,time,energy
10,0.01,2.4674
20,0.02,2.4674
30,0.03,2.4674
40,0.04,2.4674
50,0.05,2.4674
60,0.06,2.4674
70,0.07,2.4674
80,0.08,2.4674
90,0.09,2.4674
100,0.1,2.4674
110,0.11,2.4674
120,0.12,2.4674
130,0.13,2.4674
140,0.14,2.4674
150,0.15,2.4674
160,0.16,2.4674
170,0.17,2.4674
180,0.18,2.4674
190,0.19,2.4674
200,0.2,2.4674
210,0.21,2.4674
220,0.22,2.4674
230,0.23,2.4674
240,0.24,2.4674
250,0.25,2.4674
260,0.26,2.4674
270,0.27,2.4674
280,0.28,2.4674
290,0.29,2.4674
300,0.3,2.4674
310,0.31,2.4674
320,0.32,2.4674
330,0.33,2.4674
340,0.34,2.4674
350,0.35,2.4674
360,0.36,2.4674
370,0.37,2.4674
380,0.38,2.4674
390,0.39,2.4674
400,0.4,2.4674
410,0.41,2.4674
420,0.42,2.4674
430,0.43,2.4674
440,0.44,2.4674
450,0.45,2.4674
460,0.46,2.4674
470,0.47,2.4674
480,0.48,2.4674
490,0.49,2.4674
500,0.5,2.4674
510,0.51,2.4674
520,0.52,2.4674
530,0.53,2.4674
540,0.54,2.4674
550,0.55,2.4674
560,0.56,2.4674
570,0.57,2.4674
580,0.58,2.4674
590,0.59,2.4674
600,0.6,2.4674
610,0.61,2.4674
620,0.62,2.4674
630,0.63,2.4674
640,0.64,2.4674
650,0.65,2.4674
660,0.66,2.4674
670,0.67,2.4674
680,0.68,2.4674
690,0.69,2.4674
700,0.7,2.4674
710,0.71,2.4674
720,0.72,2.4674
730,0.73,2.4674
740,0.74,2.4674
750,0.75,2.4674
760,0.76,2.4674
770,0.77,2.4674
780,0.78,2.4674
790,0.79,2.4674
800,0.8,2.4674
810,0.81,2.4674
820,0.82,2.4674
830,0.83,2.4674
840,0.84,2.4674
850,0.85,2.4674
860,0.86,2.4674
870,0.87,2.4674
880,0.88,2.4674
890,0.89,2.4674
900,0.9,2.4674
910,0.91,2.4674
920,0.92,2.4674
930,0.93,2.4674
940,0.94,2.4674
950,0.95,2.4674
960,0.96,2.4674
970,0.97,2.4674
980,0.98,2.4674
990,0.99,2.4674
1000,1,2.4674
1010,1.01,2.4674
1020,1.02,2.4674
1030,1.03,2.4674
1040,1.04,2.4674
1050,1.05,2.4674
1060,1.06,2.4674
1070,1.07,2.4674
1080,1.08,2.4674
1090,1.09,2.4674
1100,1.1,2.4674
1110,1.11,2.4674
1120,1.12,2.4674
1130,1.13,2.4674
1140,1.14,2.4674
1150,1.15,2.4674
1160,1.16,2.4674
1170,1.17,2.4674
1180,1.18,2.4674
1190,1.19,2.4674
1200,1.2,2.4674
1210,1.21,2.4674
1220,1.22,2.4674
1230,1.23,2.4674
1240,1.24,2.4674
1250,1.25,2.4674
1260,1.26,2.4674
1270,1.27,2.4674
1280,1.28,2.4674
1290,1.29,2.4674
1300,1.3,2.4674
1310,1.31,2.4674
1320,1.32,2.4674
1330,1.33,2.4674
1340,1.34,2.4674
1350,1.35,2.4674
1360,1.36,2.4674
1370,1.37,2.4674
1380,1.38,2.4674
1390,1.39,2.4674
1400,1.4,2.4674
1410,1.41,2.4674
1420,1.42,2.4674
1430,1.43,2.4674
1440,1.44,2.4674
1450,1.45,2.4674
1460,1.46,2.4674
1470,1.47,2.4674
1480,1.48,2.4674
1490,1.49,2.4674
1500,1.5,2.4674
1510,1.51,2.4674
1520,1.52,2.4674
1530,1.53,2.4674
1540,1.54,2.4674
1550,1.55,2.4674
1560,1.56,2.4674
1570,1.57,2.4674
1580,1.58,2.4674
1590,1.59,2.4674
1600,1.6,2.4674
1610,1.61,2.4674
1620,1.62,2.4674
1630,1.63,2.4674
1640,1.64,2.4674
1650,1.65,2.4674
1660,1.66,2.4674
1670,1.67,2.4674
1680,1.68,2.4674
1690,1.69,2.4674
1700,1.7,2.4674
1710,1.71,2.4674
1720,1.72,2.4674
1730,1.73,2.4674
1740,1.74,2.4674
1750,1.75,2.4674
1760,1.76,2.4674
1770,1.77,2.4674
1780,1.78,2.4674
1790,1.79,2.4674
1800,1.8,2.4674
1810,1.81,2.4674
1820,1.82,2.4674
1830,1.83,2.4674
1840,1.84,2.4674
1850,1.85,2.4674
1860,1.86,2.4674
1870,1.87,2.4674
1880,1.88,2.4674
1890,1.89,2.4674
1900,1.9,2.4674
1910,1.91,2.4674
1920,1.92,2.4674
1930,1.93,2.4674
1940,1.94,2.4674
1950,1.95,2.4674
1960,1.96,2.4674
1970,1.97,2.4674
1980,1.98,2.4674
1990,1.99,2.4674
2000,2,2.4674
