timestep,time,L2_error,H1_error,rel_L2_error,rel_H1_error
1,0.0035,4.609663e-02,1.720966e+01,9.220441e-02,7.558900e+00
2,7.000000e-03,4.607991e-02,1.720341e+01,9.220441e-02,7.558900e+00
3,1.050000e-02,4.605205e-02,1.719301e+01,9.220441e-02,7.558900e+00
4,1.400000e-02,4.601305e-02,1.717845e+01,9.220441e-02,7.558901e+00
5,1.750000e-02,4.596293e-02,1.715974e+01,9.220441e-02,7.558901e+00
6,2.100000e-02,4.590169e-02,1.713688e+01,9.220441e-02,7.558901e+00
7,2.450000e-02,4.582935e-02,1.710988e+01,9.220441e-02,7.558902e+00
8,2.800000e-02,4.574593e-02,1.707873e+01,9.220440e-02,7.558902e+00
9,3.150000e-02,4.565145e-02,1.704346e+01,9.220440e-02,7.558903e+00
10,3.500000e-02,4.554593e-02,1.700407e+01,9.220440e-02,7.558904e+00
11,3.850000e-02,4.542940e-02,1.696057e+01,9.220440e-02,7.558904e+00
12,4.200000e-02,4.530189e-02,1.691296e+01,9.220440e-02,7.558905e+00
13,4.550000e-02,4.516342e-02,1.686127e+01,9.220439e-02,7.558906e+00
14,4.900000e-02,4.501402e-02,1.680550e+01,9.220439e-02,7.558907e+00
15,5.250000e-02,4.485375e-02,1.674566e+01,9.220439e-02,7.558908e+00
16,5.600000e-02,4.468263e-02,1.668178e+01,9.220439e-02,7.558910e+00
17,5.950000e-02,4.450070e-02,1.661386e+01,9.220438e-02,7.558911e+00
18,6.300000e-02,4.430801e-02,1.654193e+01,9.220438e-02,7.558912e+00
19,6.650000e-02,4.410461e-02,1.646599e+01,9.220437e-02,7.558914e+00
20,7.000000e-02,4.389055e-02,1.638608e+01,9.220437e-02,7.558915e+00
21,7.350000e-02,4.366587e-02,1.630220e+01,9.220437e-02,7.558917e+00
22,7.700000e-02,4.343063e-02,1.621438e+01,9.220436e-02,7.558918e+00
23,8.050000e-02,4.318490e-02,1.612264e+01,9.220436e-02,7.558920e+00
24,8.400000e-02,4.292872e-02,1.602701e+01,9.220435e-02,7.558922e+00
25,8.750000e-02,4.266215e-02,1.592749e+01,9.220435e-02,7.558924e+00
26,9.100000e-02,4.238528e-02,1.582413e+01,9.220434e-02,7.558926e+00
27,9.450000e-02,4.209815e-02,1.571694e+01,9.220434e-02,7.558928e+00
28,9.800000e-02,4.180085e-02,1.560595e+01,9.220433e-02,7.558931e+00
29,1.015000e-01,4.149344e-02,1.549119e+01,9.220432e-02,7.558933e+00
30,1.050000e-01,4.117599e-02,1.537268e+01,9.220432e-02,7.558936e+00
31,1.085000e-01,4.084859e-02,1.525045e+01,9.220431e-02,7.558938e+00
32,1.120000e-01,4.051131e-02,1.512454e+01,9.220430e-02,7.558941e+00
33,1.155000e-01,4.016424e-02,1.499497e+01,9.220430e-02,7.558944e+00
34,1.190000e-01,3.980745e-02,1.486177e+01,9.220429e-02,7.558947e+00
35,1.225000e-01,3.944104e-02,1.472498e+01,9.220428e-02,7.558950e+00
36,1.260000e-01,3.906509e-02,1.458463e+01,9.220427e-02,7.558953e+00
37,1.295000e-01,3.867969e-02,1.444076e+01,9.220426e-02,7.558957e+00
38,1.330000e-01,3.828494e-02,1.429339e+01,9.220425e-02,7.558960e+00
