timestep,time,L2_error,H1_error,rel_L2_error,rel_H1_error
1,0.0035,7.170307e-02,1.405632e+01,1.175184e-01,3.246749e+00
2,7.000000e-03,7.163805e-02,1.404357e+01,1.175184e-01,3.246748e+00
3,1.050000e-02,7.152974e-02,1.402233e+01,1.175184e-01,3.246747e+00
4,1.400000e-02,7.137820e-02,1.399261e+01,1.175185e-01,3.246745e+00
5,1.750000e-02,7.118351e-02,1.395443e+01,1.175185e-01,3.246743e+00
6,2.100000e-02,7.094581e-02,1.390782e+01,1.175186e-01,3.246740e+00
7,2.450000e-02,7.066522e-02,1.385279e+01,1.175186e-01,3.246736e+00
8,2.800000e-02,7.034192e-02,1.378939e+01,1.175187e-01,3.246732e+00
9,3.150000e-02,6.997610e-02,1.371765e+01,1.175188e-01,3.246728e+00
10,3.500000e-02,6.956800e-02,1.363761e+01,1.175189e-01,3.246723e+00
11,3.850000e-02,6.911784e-02,1.354933e+01,1.175190e-01,3.246717e+00
12,4.200000e-02,6.862591e-02,1.345286e+01,1.175191e-01,3.246711e+00
13,4.550000e-02,6.809250e-02,1.334825e+01,1.175192e-01,3.246704e+00
14,4.900000e-02,6.751794e-02,1.323557e+01,1.175193e-01,3.246696e+00
15,5.250000e-02,6.690257e-02,1.311489e+01,1.175195e-01,3.246688e+00
16,5.600000e-02,6.624676e-02,1.298628e+01,1.175197e-01,3.246679e+00
17,5.950000e-02,6.555092e-02,1.284982e+01,1.175198e-01,3.246670e+00
18,6.300000e-02,6.481545e-02,1.270558e+01,1.175200e-01,3.246660e+00
19,6.650000e-02,6.404081e-02,1.255367e+01,1.175202e-01,3.246649e+00
20,7.000000e-02,6.322746e-02,1.239416e+01,1.175204e-01,3.246637e+00
21,7.350000e-02,6.237590e-02,1.222717e+01,1.175207e-01,3.246624e+00
22,7.700000e-02,6.148664e-02,1.205277e+01,1.175209e-01,3.246610e+00
23,8.050000e-02,6.056022e-02,1.187109e+01,1.175212e-01,3.246596e+00
24,8.400000e-02,5.959719e-02,1.168223e+01,1.175215e-01,3.246580e+00
25,8.750000e-02,5.859815e-02,1.148631e+01,1.175218e-01,3.246563e+00
